id,name,email,phone,company,city,state,zip,years_experience,transactions_last_year,priority_tier,cream_fit_score,source,scraped_at
CREAM-20260706-00001,Raymond Bailey,raymondbailey@icloud.com,(469) 283-2471,Berkshire Hathaway HomeServices,San Jose,CA,93551,1,7,A,73,Brokerage Listings,2026-07-06T13:29:07Z
CREAM-20260706-00002,Emma Turner,emmaturner@outlook.com,(646) 902-6735,eXp Realty,San Jose,CA,94890,1,7,A,96,MLS Database,2026-07-06T23:43:56Z
CREAM-20260706-00003,Joseph Patel,joseph_patel@gmail.com,(646) 808-5085,eXp Realty,Greensboro,NC,27112,14,51,A,61,Cold Outreach,2026-07-06T20:24:35Z
CREAM-20260706-00004,Patricia Kim,patricia.kim@gmail.com,(415) 845-3022,Coldwell Banker,Mesa,AZ,86129,25,50,A,82,Website Lead,2026-07-06T01:54:50Z
CREAM-20260706-00005,Christopher Howard,christopherhoward@outlook.com,(212) 886-1746,RE/MAX,Oakland,CA,94553,20,35,A,73,LinkedIn,2026-07-06T15:40:46Z
CREAM-20260706-00006,Helen Powell,helen.powell@kellerwilliams.com,(704) 270-7399,Keller Williams,Aurora,CO,80875,3,12,A,97,Facebook,2026-07-06T00:39:01Z
CREAM-20260706-00007,Scott Alvarez,scott.alvarez@cutlerrealestate.com,(602) 349-1983,Cutler Real Estate,Cincinnati,OH,44261,18,53,A,62,Cold Outreach,2026-07-06T03:30:02Z
CREAM-20260706-00008,Linda Myers,lindam@aol.com,(919) 321-2698,Keller Williams,Fort Worth,TX,79410,0,5,A,89,Facebook,2026-07-06T13:12:00Z
CREAM-20260706-00009,Jessica Adams,jessicaadams@me.com,(256) 777-9435,Coldwell Banker,Cincinnati,OH,45512,2,3,A,99,MLS Database,2026-07-06T18:11:42Z
CREAM-20260706-00010,Laura Morris,laura.morris@gmail.com,(980) 353-6789,RE/MAX,San Diego,CA,93427,15,61,A,88,Trade Show,2026-07-06T05:36:44Z
CREAM-20260706-00011,Andrew Sanders,andrew.sanders@kellerwilliams.com,(980) 476-1765,Keller Williams,Aurora,CO,80333,14,73,A,66,Realtor.com,2026-07-06T16:33:22Z
CREAM-20260706-00012,Susan Harris,susanh@exprealty.com,(713) 988-1083,eXp Realty,Aurora,CO,80892,7,20,A,81,Cold Outreach,2026-07-06T00:38:44Z
CREAM-20260706-00013,Sandra Ramirez,sandrar@icloud.com,(919) 906-8857,Keller Williams,Raleigh,NC,27330,9,21,A,65,Cold Outreach,2026-07-06T00:59:58Z
CREAM-20260706-00014,Dennis Adams,dennis.adams@me.com,(980) 420-8157,Douglas Elliman,Bronx,NY,12334,23,76,A,94,Brokerage Listings,2026-07-06T00:39:31Z
CREAM-20260706-00015,Kevin Adams,kevina@cutlerrealestate.com,(718) 631-1991,Cutler Real Estate,Columbus,OH,44760,12,34,A,62,Realtor.com,2026-07-06T12:14:37Z
CREAM-20260706-00016,Mark Mendoza,mmendoza@icloud.com,(919) 801-4551,Briggs Freeman Sotheby's,Austin,TX,78918,5,16,A,98,Facebook,2026-07-06T23:34:10Z
CREAM-20260706-00017,Richard Campbell,richard.campbell@me.com,(602) 749-9733,Coldwell Banker,Cincinnati,OH,45378,3,10,A,69,NAR Directory,2026-07-06T06:56:33Z
