id,name,email,phone,company,city,state,zip,years_experience,transactions_last_year,priority,cream_fit_score,source,scraped_at
CREAM-20260730-00001,Donald Kelly,dkelly@hotmail.com,(512) 349-3815,Century 21,St. Petersburg,FL,33358,0,2,A,96,Website Lead,2026-07-30T06:21:13Z
CREAM-20260730-00002,Anna Baker,annab@aol.com,(305) 415-7973,Berkshire Hathaway,Columbus,OH,43903,3,17,A,82,NAR Directory,2026-07-30T16:01:59Z
CREAM-20260730-00003,Dennis Gonzalez,dgonzalez@gmail.com,(214) 315-2637,Berkshire Hathaway,Colorado Springs,CO,80697,24,74,A,83,Realtor.com,2026-07-30T08:41:34Z
CREAM-20260730-00004,Samantha Campbell,samanthacampbell@gmail.com,(602) 933-6602,Briggs Freeman Sotheby's,El Paso,TX,75808,16,52,A,65,Trade Show,2026-07-30T19:26:44Z
CREAM-20260730-00005,Matthew Reed,matthewr@me.com,(972) 808-3445,Douglas Elliman,Dallas,TX,75866,0,4,A,97,Referral Network,2026-07-30T20:33:39Z
CREAM-20260730-00006,Emily Lopez,emilylopez@aol.com,(512) 374-7257,Keller Williams,Columbus,OH,44734,5,20,A,81,Cold Outreach,2026-07-30T04:12:58Z
CREAM-20260730-00007,Rachel Evans,rachel.evans@berkshirehathaway.com,(980) 591-7293,Berkshire Hathaway,Tucson,AZ,85735,9,37,A,69,Facebook,2026-07-30T22:50:55Z
CREAM-20260730-00008,Joseph Harris,josephh@icloud.com,(256) 418-4335,Keller Williams,Raleigh,NC,28132,23,40,A,66,Cold Outreach,2026-07-30T06:26:34Z
CREAM-20260730-00009,Nancy Brooks,nbrooks@berkshirehathaway.com,(407) 648-9516,Berkshire Hathaway,Raleigh,NC,27221,3,21,A,61,Realtor.com,2026-07-30T00:12:08Z
CREAM-20260730-00010,Patrick Jenkins,patrickj@icloud.com,(310) 855-4883,Douglas Elliman,Jacksonville,FL,32950,3,15,A,89,Referral Network,2026-07-30T18:54:07Z
CREAM-20260730-00011,Stephen Adams,sadams@coldwellbanker.com,(214) 321-1258,Coldwell Banker,Scottsdale,AZ,86463,14,48,A,98,MLS Database,2026-07-30T03:39:36Z
CREAM-20260730-00012,Dennis Watson,dennisw@yahoo.com,(469) 908-3729,Coldwell Banker,San Antonio,TX,79709,21,64,A,71,Brokerage Listings,2026-07-30T16:55:33Z
CREAM-20260730-00013,Dennis Parker,dennis_parker@yahoo.com,(713) 772-1481,Berkshire Hathaway,Columbus,OH,43481,9,37,A,69,MLS Database,2026-07-30T22:32:34Z
CREAM-20260730-00014,Ronald Gomez,ronaldg@aol.com,(469) 853-9789,Berkshire Hathaway HomeServices,Long Beach,CA,95272,1,11,A,73,Website Lead,2026-07-30T18:15:08Z
CREAM-20260730-00015,Samantha Jackson,samantha.jackson@hotmail.com,(310) 834-3642,Compass,St. Petersburg,FL,32739,11,68,A,65,LinkedIn,2026-07-30T05:14:53Z
CREAM-20260730-00016,Jennifer Price,jprice@compass.com,(234) 949-9001,Compass,Queens,NY,12412,5,10,A,75,Website Lead,2026-07-30T03:32:17Z
CREAM-20260730-00017,Kimberly Howard,kimberly.howard@berkshirehathawayhomeservices.com,(919) 433-7357,Berkshire Hathaway HomeServices,Oakland,CA,93343,2,10,A,82,Referral Network,2026-07-30T14:54:08Z
CREAM-20260730-00018,Janet Roberts,jroberts@kellerwilliams.com,(714) 857-4362,Keller Williams,Scottsdale,AZ,86951,0,0,A,96,NAR Directory,2026-07-30T13:07:30Z
CREAM-20260730-00019,Donald Adams,donalda@coldwellbanker.com,(980) 773-8712,Coldwell Banker,Charlotte,NC,28980,11,68,A,88,Realtor.com,2026-07-30T20:21:56Z
CREAM-20260730-00020,Shirley Roberts,shirley_roberts@outlook.com,(919) 637-7719,RE/MAX,Houston,TX,79822,3,13,A,94,Realtor.com,2026-07-30T04:17:08Z
CREAM-20260730-00021,Jeffrey Rivera,jeffreyr@icloud.com,(512) 829-7146,eXp Realty,Dallas,TX,77686,11,48,A,98,Facebook,2026-07-30T12:15:08Z
CREAM-20260730-00022,Michael Martin,michael.martin@yahoo.com,(256) 965-4453,Coldwell Banker,Fort Lauderdale,FL,32620,11,63,A,88,MLS Database,2026-07-30T08:16:28Z
CREAM-20260730-00023,Raymond Cooper,raymondc@aol.com,(513) 796-3434,Long Realty,Mesa,AZ,86547,8,20,A,60,Facebook,2026-07-30T04:35:27Z
CREAM-20260730-00024,Jonathan Thomas,jthomas@hotmail.com,(334) 401-3328,Keller Williams,Scottsdale,AZ,86942,0,4,A,71,Trade Show,2026-07-30T15:04:47Z
CREAM-20260730-00025,Nicholas Brooks,nicholas_brooks@icloud.com,(305) 303-5735,Keller Williams,El Paso,TX,79828,10,68,A,100,MLS Database,2026-07-30T20:18:15Z
CREAM-20260730-00026,Carolyn Clark,carolync@sothebysinternational.com,(512) 496-6587,Sotheby's International,Los Angeles,CA,90790,4,8,A,66,Trade Show,2026-07-30T18:43:57Z
CREAM-20260730-00027,Helen Russell,helenr@coldwellbanker.com,(310) 291-9014,Coldwell Banker,Denver,CO,81138,16,56,A,62,LinkedIn,2026-07-30T03:07:42Z
CREAM-20260730-00028,Catherine Alvarez,catherine.alvarez@kellerwilliams.com,(720) 828-1737,Keller Williams,Raleigh,NC,27364,3,11,A,69,MLS Database,2026-07-30T00:18:16Z
CREAM-20260730-00029,Ronald Sanchez,rsanchez@yahoo.com,(916) 284-7404,eXp Realty,Cincinnati,OH,45422,20,30,A,63,Referral Network,2026-07-30T08:47:21Z
CREAM-20260730-00030,Linda Harris,lindaharris@icloud.com,(713) 989-6900,eXp Realty,Austin,TX,78731,9,34,A,78,Referral Network,2026-07-30T21:36:54Z
CREAM-20260730-00031,Betty King,bking@gmail.com,(513) 803-8528,HomeSmart,Scottsdale,AZ,86486,19,25,A,78,Cold Outreach,2026-07-30T15:21:46Z
CREAM-20260730-00032,Melissa Wood,melissawood@outlook.com,(415) 980-1807,Keller Williams Realty,Jacksonville,FL,32390,2,12,A,73,Website Lead,2026-07-30T00:15:05Z
CREAM-20260730-00033,Mark Walker,mark.walker@hotmail.com,(714) 742-7170,LIV Sotheby's,Denver,CO,80902,19,40,A,78,Referral Network,2026-07-30T23:12:42Z
CREAM-20260730-00034,Carol Edwards,carole@me.com,(602) 375-4783,Coldwell Banker,Houston,TX,76732,2,9,A,92,Cold Outreach,2026-07-30T20:52:46Z
CREAM-20260730-00035,Elizabeth Kim,elizabeth_kim@outlook.com,(310) 958-4399,Keller Williams,Colorado Springs,CO,81251,23,65,A,92,NAR Directory,2026-07-30T19:27:18Z
CREAM-20260730-00036,Ashley Wood,ashleywood@yahoo.com,(310) 992-7860,Compass,Denver,CO,81452,3,21,A,97,Facebook,2026-07-30T22:15:44Z
CREAM-20260730-00037,Joseph Howard,joseph.howard@icloud.com,(404) 917-3318,Keller Williams,Houston,TX,77211,18,33,A,62,Brokerage Listings,2026-07-30T18:47:03Z
CREAM-20260730-00038,Joshua Adams,joshuaa@aol.com,(786) 828-4153,Douglas Elliman,Miami,FL,33354,0,4,A,89,Website Lead,2026-07-30T07:45:06Z
CREAM-20260730-00039,Richard Clark,richard_clark@hotmail.com,(805) 834-3968,Nest Seekers,Bronx,NY,10182,3,21,A,83,Cold Outreach,2026-07-30T13:16:17Z
CREAM-20260730-00040,Betty Brooks,bbrooks@hotmail.com,(469) 749-4018,Halstead,New York City,NY,11198,3,19,A,68,Brokerage Listings,2026-07-30T22:20:41Z
CREAM-20260730-00041,Thomas Lopez,thomas.lopez@aol.com,(305) 739-7599,Douglas Elliman,Bronx,NY,13326,4,24,A,71,NAR Directory,2026-07-30T00:21:59Z
