full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Jerry Wright,Jerry,Wright,wrightjerry@kw.com,(410) 954-5109,RE/MAX,Cedar Rapids,IA,Cedar Rapids,IA161770,IA,5,3,615000,85,C,C,3.3,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Angela Kim,Angela,Kim,angela_kim@century21.com,(504) 284-8316,Independent Agent,San Jose,CA,San Jose,CA197414,CA,10,12,9000000,85,A,A,4.7,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Angela Flores,Angela,Flores,angelaflores@remax.com,(619) 514-3222,Berkshire Hathaway HomeServices,Richmond,VA,Richmond,VA376489,VA,7,8,3000000,68,B,B,3.7,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Mary Mendoza,Mary,Mendoza,mary_mendoza@exp.com,(312) 865-5683,United Real Estate,Boston,MA,Boston,MA786159,MA,4,25,16250000,91,A,A,4.9,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Deborah Gomez,Deborah,Gomez,deborahgomez7@aol.com,(601) 908-8586,eXp Realty,New Orleans,LA,New Orleans,LA711993,LA,7,8,1840000,84,B,B,4.7,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Larry Roberts,Larry,Roberts,roberts.l@sothebysrealty.com,(801) 707-5520,Redfin,Los Angeles,CA,Los Angeles,CA332075,CA,12,40,30000000,99,A,A,4.2,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Sandra Taylor,Sandra,Taylor,staylor@coldwellbanker.com,(414) 475-5952,Weichert Realtors,Boston,MA,Boston,MA972237,MA,8,25,16250000,97,A,A,5.0,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Helen Thompson,Helen,Thompson,helenthompson50@gmail.com,(202) 770-7260,RE/MAX,Milwaukee,WI,Milwaukee,WI385305,WI,5,12,3300000,74,B,B,4.3,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
George Harris,George,Harris,georgeharris50@weichert.com,(213) 335-1761,Compass,Miami,FL,Miami,FL337146,FL,5,40,16000000,81,A,A,3.2,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Mary Robinson,Mary,Robinson,mary_robinson@outlook.com,(850) 430-6932,Cushman & Wakefield,San Diego,CA,San Diego,CA632380,CA,3,20,15000000,85,A,A,3.4,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
