full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,scraped_at
Andrew Young,Andrew,Young,ayoung@homesmart.com,(608) 244-9563,Weichert Realtors,Jackson,MS,Jackson,MS793868,MS,7,8,1440000,83,C,C,3.9,realtor_scraper,2026-05-02T07:06:13+00:00
Kevin Mitchell,Kevin,Mitchell,kevinmitchell6@exp.com,(305) 552-7287,Windermere Real Estate,San Jose,CA,San Jose,CA208510,CA,7,12,9000000,70,A,A,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Jennifer Thomas,Jennifer,Thomas,jenniferthomas64@homesmart.com,(210) 298-9368,Local Brokerage,Pittsburgh,PA,Pittsburgh,PA766821,PA,10,15,4350000,83,B,B,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Cynthia Ruiz,Cynthia,Ruiz,cruiz@sothebysrealty.com,(502) 200-6768,Century 21,Seattle,WA,Seattle,WA734463,WA,12,8,4800000,93,A,A,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Justin Lopez,Justin,Lopez,jlopez@gmail.com,(801) 609-5117,Keller Williams,Asheville,NC,Asheville,NC773076,NC,2,6,1860000,74,C,C,3.4,realtor_scraper,2026-05-02T07:06:13+00:00
Rachel Peterson,Rachel,Peterson,rpeterson@compass.com,(614) 846-2710,Weichert Realtors,Oklahoma City,OK,Oklahoma City,OK781588,OK,3,12,2520000,75,B,B,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Deborah Reyes,Deborah,Reyes,deborahreyes49@outlook.com,(602) 844-1615,CBRE,Colorado Springs,CO,Colorado Springs,CO286159,CO,8,12,6600000,86,C,C,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Jonathan Adams,Jonathan,Adams,jonathan_adams@aol.com,(205) 522-5515,Local Brokerage,Minneapolis,MN,Minneapolis,MN168057,MN,8,12,4200000,69,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Nancy Smith,Nancy,Smith,nancysmith3@kw.com,(202) 739-7746,Weichert Realtors,New York,NY,New York,NY181906,NY,6,25,21250000,84,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Dorothy Green,Dorothy,Green,dorothygreen@gmail.com,(415) 534-1867,Corcoran Global Living,Mobile,AL,Mobile,AL323848,AL,5,6,1320000,77,C,C,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Frank Phillips,Frank,Phillips,frank.phillips@century21.com,(414) 209-7108,Century 21,Houston,TX,Houston,TX211263,TX,3,20,7000000,82,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Gregory Chavez,Gregory,Chavez,gregorychavez@gmail.com,(901) 413-8860,United Real Estate,Shreveport,LA,Shreveport,LA721370,LA,6,20,4600000,86,C,C,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Sarah Flores,Sarah,Flores,sarahflores@kw.com,(612) 512-9534,Better Homes and Gardens Real Estate,Riverside,CA,Riverside,CA736819,CA,3,4,3000000,77,B,B,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Jeffrey White,Jeffrey,White,jwhite@kw.com,(214) 606-9736,Berkshire Hathaway HomeServices,Austin,TX,Austin,TX398499,TX,5,35,12250000,83,A,A,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Benjamin Rivera,Benjamin,Rivera,benjaminrivera@gmail.com,(813) 760-9683,Zillow Premier Agent,Omaha,NE,Omaha,NE352985,NE,4,22,5060000,70,B,B,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Edward Rodriguez,Edward,Rodriguez,edward.rodriguez@realtor.com,(813) 663-3935,HomeSmart,Louisville,KY,Louisville,KY560020,KY,8,8,1800000,68,B,B,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Brandon Allen,Brandon,Allen,brandon_allen@outlook.com,(612) 796-9146,RE/MAX,Cleveland,OH,Cleveland,OH938281,OH,1,15,3750000,81,B,B,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Rachel Davis,Rachel,Davis,rdavis@weichert.com,(512) 495-8996,CBRE,Charlotte,NC,Charlotte,NC193257,NC,4,18,5580000,82,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Jason Young,Jason,Young,jason_young@century21.com,(804) 470-4284,Corcoran Global Living,Seattle,WA,Seattle,WA842641,WA,8,35,21000000,97,A,A,4.3,realtor_scraper,2026-05-02T07:06:13+00:00
Barbara Carter,Barbara,Carter,bcarter@yahoo.com,(612) 388-6231,Zillow Premier Agent,Greenville,SC,Greenville,SC520237,SC,4,15,4350000,67,C,C,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
Rebecca Cook,Rebecca,Cook,rcook@compass.com,(402) 340-4145,Coldwell Banker,Reno,NV,Reno,NV420384,NV,4,10,4250000,77,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Karen Diaz,Karen,Diaz,karendiaz54@aol.com,(502) 648-8364,Realty ONE Group,Miami,FL,Miami,FL101397,FL,7,16,6400000,98,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
David Rivera,David,Rivera,david_rivera@outlook.com,(314) 212-7943,RE/MAX,Raleigh,NC,Raleigh,NC816532,NC,2,12,3720000,66,B,B,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Rachel Baker,Rachel,Baker,rachelbaker@century21.com,(617) 467-9383,CBRE,San Jose,CA,San Jose,CA113173,CA,12,16,12000000,98,A,A,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Margaret Kelly,Margaret,Kelly,margaretkelly37@aol.com,(612) 217-2459,Berkshire Hathaway HomeServices,Madison,WI,Madison,WI855337,WI,4,8,2200000,71,C,C,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Benjamin Lewis,Benjamin,Lewis,benjamin_lewis@weichert.com,(501) 792-8683,HomeSmart,Winston-Salem,NC,Winston-Salem,NC422309,NC,3,12,3720000,74,C,C,4.1,realtor_scraper,2026-05-02T07:06:13+00:00
Emma Nelson,Emma,Nelson,enelson@gmail.com,(423) 545-4193,Local Brokerage,Louisville,KY,Louisville,KY175609,KY,2,18,4050000,87,B,B,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Cooper,Matthew,Cooper,matthew.cooper@gmail.com,(816) 651-3565,Realty ONE Group,San Antonio,TX,San Antonio,TX269480,TX,1,22,7700000,75,B,B,3.1,realtor_scraper,2026-05-02T07:06:13+00:00
John Flores,John,Flores,johnflores44@realtor.com,(704) 312-6443,Weichert Realtors,Greenville,SC,Greenville,SC435104,SC,8,6,1740000,85,C,C,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Thomas Nguyen,Thomas,Nguyen,thomas_nguyen@kw.com,(813) 332-3017,Keller Williams,Fort Collins,CO,Fort Collins,CO202624,CO,2,12,6600000,84,C,C,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Laura Jackson,Laura,Jackson,ljackson@exp.com,(919) 961-1332,HomeSmart,Orlando,FL,Orlando,FL930635,FL,5,10,4000000,70,B,B,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Margaret White,Margaret,White,margaret.white@exp.com,(206) 736-6267,HomeSmart,Wichita,KS,Wichita,KS458841,KS,2,3,600000,77,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
Richard Flores,Richard,Flores,richardflores@sothebysrealty.com,(864) 777-3623,Windermere Real Estate,Milwaukee,WI,Milwaukee,WI998130,WI,4,28,7700000,70,B,B,3.7,realtor_scraper,2026-05-02T07:06:13+00:00
Kimberly Perez,Kimberly,Perez,kimberlyperez39@aol.com,(503) 484-8744,RE/MAX,Pittsburgh,PA,Pittsburgh,PA265073,PA,8,18,5220000,78,B,B,4.5,realtor_scraper,2026-05-02T07:06:13+00:00
Brenda Adams,Brenda,Adams,brenda.adams@century21.com,(619) 750-9032,Local Brokerage,Santa Fe,NM,Santa Fe,NM411138,NM,3,6,1650000,78,C,C,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Angela Bennett,Angela,Bennett,angelabennett63@compass.com,(303) 986-9901,Windermere Real Estate,Albuquerque,NM,Albuquerque,NM656266,NM,3,3,825000,81,C,C,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Charles Martinez,Charles,Martinez,charles_martinez@yahoo.com,(716) 255-8647,eXp Realty,Los Angeles,CA,Los Angeles,CA610061,CA,15,12,9000000,77,A,A,3.5,realtor_scraper,2026-05-02T07:06:13+00:00
Matthew Rodriguez,Matthew,Rodriguez,mrodriguez@exp.com,(502) 338-4530,Local Brokerage,Indianapolis,IN,Indianapolis,IN821500,IN,4,12,2880000,73,B,B,3.0,realtor_scraper,2026-05-02T07:06:13+00:00
Ronald Green,Ronald,Green,ronald_green@coldwellbanker.com,(206) 591-7064,United Real Estate,Kansas City,MO,Kansas City,MO527878,MO,5,10,2600000,73,B,B,4.2,realtor_scraper,2026-05-02T07:06:13+00:00
Lisa King,Lisa,King,lking@coldwellbanker.com,(617) 687-3661,Keller Williams,Portland,OR,Portland,OR223027,OR,5,60,30000000,83,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Rebecca Ramirez,Rebecca,Ramirez,rramirez@aol.com,(412) 576-1433,Sotheby's International Realty,Charleston,SC,Charleston,SC307035,SC,6,8,2320000,85,C,C,4.7,realtor_scraper,2026-05-02T07:06:13+00:00
Pamela Reyes,Pamela,Reyes,pamela.reyes@sothebysrealty.com,(414) 734-8729,Weichert Realtors,Miami,FL,Miami,FL782285,FL,6,8,3200000,92,A,A,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Rebecca Clark,Rebecca,Clark,rclark@yahoo.com,(402) 975-1444,Local Brokerage,Winston-Salem,NC,Winston-Salem,NC850615,NC,1,10,3100000,68,C,C,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Elizabeth Flores,Elizabeth,Flores,elizabethflores3@sothebysrealty.com,(804) 226-8022,HomeSmart,Boise,ID,Boise,ID881777,ID,2,10,4750000,83,C,C,5.0,realtor_scraper,2026-05-02T07:06:13+00:00
Andrew Robinson,Andrew,Robinson,andrew_robinson@homesmart.com,(317) 222-1754,Windermere Real Estate,Raleigh,NC,Raleigh,NC156717,NC,7,10,3100000,76,B,B,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Ryan Cruz,Ryan,Cruz,ryan.cruz@compass.com,(816) 748-8956,Corcoran Global Living,Wichita,KS,Wichita,KS400554,KS,4,28,5600000,95,C,C,3.8,realtor_scraper,2026-05-02T07:06:13+00:00
Thomas Smith,Thomas,Smith,thomassmith46@exp.com,(801) 847-9128,Corcoran Global Living,Philadelphia,PA,Philadelphia,PA847199,PA,5,60,17400000,83,A,A,4.8,realtor_scraper,2026-05-02T07:06:13+00:00
Nicholas Robinson,Nicholas,Robinson,nicholasrobinson@realtor.com,(314) 658-2659,Local Brokerage,Austin,TX,Austin,TX845914,TX,7,50,17500000,100,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Dorothy Carter,Dorothy,Carter,dorothycarter90@yahoo.com,(504) 430-7124,Keller Williams,Minneapolis,MN,Minneapolis,MN544050,MN,6,40,14000000,90,A,A,3.2,realtor_scraper,2026-05-02T07:06:13+00:00
Kenneth Scott,Kenneth,Scott,kennethscott@remax.com,(513) 339-5427,Keller Williams,Denver,CO,Denver,CO670979,CO,5,16,8800000,86,A,A,4.9,realtor_scraper,2026-05-02T07:06:13+00:00
Nicole Gray,Nicole,Gray,ngray@exp.com,(415) 318-1395,Windermere Real Estate,Albuquerque,NM,Albuquerque,NM370167,NM,2,6,1650000,78,C,C,3.3,realtor_scraper,2026-05-02T07:06:13+00:00
Samantha Phillips,Samantha,Phillips,sphillips@century21.com,(407) 561-2478,Local Brokerage,Savannah,GA,Savannah,GA727243,GA,4,12,3900000,77,C,C,3.6,realtor_scraper,2026-05-02T07:06:13+00:00
