id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260823-00001,Linda Sullivan,Linda Sullivan,Linda,Sullivan,lindas@icloud.com,(713) 731-1950,Keller Williams Realty,Keller Williams Realty,San Francisco,San Francisco,CA,96823,1,9,9,6002640,3.0,A,67,Brokerage Listings,Large (51-200 agents),2026-08-23T07:25:26Z
CREAM-20260823-00002,Aaron Ramos,Aaron Ramos,Aaron,Ramos,aaronramos@yahoo.com,(919) 842-9714,Allen Tate,Allen Tate,Raleigh,Raleigh,NC,27613,5,9,9,3662080,4.5,A,93,Website Lead,Independent,2026-08-23T05:41:07Z
CREAM-20260823-00003,Megan Mitchell,Megan Mitchell,Megan,Mitchell,mmitchell@herrealtors.com,(805) 435-8460,HER Realtors,HER Realtors,Cincinnati,Cincinnati,OH,43680,1,12,12,3275424,3.1,A,61,Brokerage Listings,Independent,2026-08-23T15:43:14Z
CREAM-20260823-00004,Eugene Gray,Eugene Gray,Eugene,Gray,eugene_gray@yahoo.com,(415) 245-2845,HomeSmart,HomeSmart,Tucson,Tucson,AZ,86163,4,24,24,12562449,4.4,A,75,MLS Database,Independent,2026-08-23T19:13:07Z
CREAM-20260823-00005,Grace Green,Grace Green,Grace,Green,ggreen@berkshirehathaway.com,(713) 538-8350,Berkshire Hathaway,Berkshire Hathaway,Greensboro,Greensboro,NC,27163,16,61,61,25972158,4.1,A,83,NAR Directory,Large (51-200 agents),2026-08-23T03:09:23Z
CREAM-20260823-00006,Jack Lopez,Jack Lopez,Jack,Lopez,jlopez@kellerwilliams.com,(212) 386-9049,Keller Williams,Keller Williams,Manhattan,Manhattan,NY,14398,4,12,12,7073215,3.8,A,77,Trade Show,Boutique (2-10 agents),2026-08-23T08:49:45Z
CREAM-20260823-00007,Linda Hall,Linda Hall,Linda,Hall,lhall@outlook.com,(512) 541-4771,Berkshire Hathaway,Berkshire Hathaway,Houston,Houston,TX,79942,25,76,76,20859227,3.5,A,79,MLS Database,Enterprise (200+ agents),2026-08-23T06:03:09Z
CREAM-20260823-00008,Nicole Alvarez,Nicole Alvarez,Nicole,Alvarez,nalvarez@re/max.com,(512) 461-9772,RE/MAX,RE/MAX,Fort Lauderdale,Fort Lauderdale,FL,33257,4,8,8,2912288,4.6,A,77,LinkedIn,Enterprise (200+ agents),2026-08-23T00:59:25Z
CREAM-20260823-00009,Judith Ortiz,Judith Ortiz,Judith,Ortiz,jortiz@coldwellbanker.com,(713) 405-3958,Coldwell Banker,Coldwell Banker,Phoenix,Phoenix,AZ,86980,13,51,51,22108060,3.1,A,65,NAR Directory,Large (51-200 agents),2026-08-23T11:15:04Z
CREAM-20260823-00010,Anthony Jenkins,Anthony Jenkins,Anthony,Jenkins,anthony.jenkins@yahoo.com,(415) 765-4101,Coldwell Banker,Coldwell Banker,Cleveland,Cleveland,OH,45838,15,78,78,18296030,4.4,A,99,Realtor.com,Enterprise (200+ agents),2026-08-23T14:10:18Z
