full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Jonathan Hernandez,Jonathan,Hernandez,jhernandez@hotmail.com,(385) 481-5048,Sotheby's,Portland,OR,12,42,8731997,OR617401,OR,4.4,64,B,realtor_scraper,2026-04-01T06:22:17.653863+00:00
Robert Baker,Robert,Baker,baker.robert@weichert.com,(518) 624-5213,Redfin,Orlando,FL,22,41,9930088,FL240887,FL,3.7,69,A,realtor_scraper,2026-04-01T06:22:17.653903+00:00
Deborah White,Deborah,White,deborah61@redfin.com,(207) 430-1564,Meritage Homes,Jacksonville,FL,13,14,13750860,FL422955,FL,4.7,85,B,realtor_scraper,2026-04-01T06:22:17.653923+00:00
Patrick Hughes,Patrick,Hughes,patrick39@elliman.com,(970) 484-4248,Lennar,San Francisco,CA,9,28,12074139,CA747156,CA,4.9,80,A,realtor_scraper,2026-04-01T06:22:17.653950+00:00
Robert Young,Robert,Young,young.robert@elliman.com,(320) 481-9554,Berkshire Hathaway,Boston,MA,1,1,302963,MA569335,MA,4.6,43,A,realtor_scraper,2026-04-01T06:22:17.653966+00:00
Deborah Scott,Deborah,Scott,deborah45@outlook.com,(361) 972-7069,Vylla Home,Tampa,FL,21,31,10388844,FL224968,FL,4.4,89,A,realtor_scraper,2026-04-01T06:22:17.653985+00:00
Gregory Torres,Gregory,Torres,torres.gregory@realtor.com,(479) 888-6083,Meritage Homes,Miami,FL,25,26,12179990,FL628694,FL,4.3,100,A,realtor_scraper,2026-04-01T06:22:17.654000+00:00
Diane Brown,Diane,Brown,brown.diane@coldwellbanker.com,(478) 753-1161,LGI Homes,Austin,TX,24,44,13944045,TX253089,TX,4.5,100,A,realtor_scraper,2026-04-01T06:22:17.654014+00:00
Brian Myers,Brian,Myers,brian19@hotmail.com,(947) 741-3834,Compass,Las Vegas,NV,7,32,2200293,NV140830,NV,4.9,92,A,realtor_scraper,2026-04-01T06:22:17.654028+00:00
Helen Adams,Helen,Adams,adams.helen@realtyonegroup.com,(619) 329-4863,Taylor Morrison,Minneapolis,MN,1,1,455697,MN295161,MN,4.9,45,B,realtor_scraper,2026-04-01T06:22:17.654042+00:00
John Anderson,John,Anderson,john.anderson@yahoo.com,(906) 570-9998,D.R. Horton,Portland,OR,17,29,3386144,OR359914,OR,4.0,61,B,realtor_scraper,2026-04-01T06:22:17.654056+00:00
Lisa Richardson,Lisa,Richardson,lisa34@yahoo.com,(517) 415-1717,ERA,Tucson,AZ,12,30,3392652,AZ827671,AZ,3.6,69,C,realtor_scraper,2026-04-01T06:22:17.654089+00:00
Jeffrey Perez,Jeffrey,Perez,jeffrey33@berkshirehathawayhs.com,(510) 409-7065,D.R. Horton,Cleveland,OH,19,43,10121323,OH100344,OH,3.8,71,B,realtor_scraper,2026-04-01T06:22:17.654104+00:00
Kimberly Flores,Kimberly,Flores,flores.kimberly@coldwellbanker.com,(323) 347-1055,Keller Williams,Boston,MA,17,20,13937711,MA397609,MA,4.0,93,A,realtor_scraper,2026-04-01T06:22:17.654122+00:00
Michael Hernandez,Michael,Hernandez,michael.hernandez@exprealty.com,(515) 523-4235,M/I Homes,Riverside,CA,2,9,1216359,CA947192,CA,4.5,85,B,realtor_scraper,2026-04-01T06:22:17.654136+00:00
Samuel Hill,Samuel,Hill,shill@kw.com,(817) 526-6897,Ryan Homes,New Orleans,LA,10,10,4264085,LA886790,LA,4.9,81,C,realtor_scraper,2026-04-01T06:22:17.654154+00:00
Christopher Allen,Christopher,Allen,allen.christopher@weichert.com,(321) 421-4352,Beazer Homes,Columbus,OH,13,17,13529456,OH855145,OH,3.6,100,B,realtor_scraper,2026-04-01T06:22:17.654169+00:00
Christopher Mendoza,Christopher,Mendoza,mendoza.christopher@realtyonegroup.com,(831) 483-4879,M/I Homes,Dallas-Fort Worth,TX,1,0,83772,TX281696,TX,0.0,47,A,realtor_scraper,2026-04-01T06:22:17.654183+00:00
Melissa Anderson,Melissa,Anderson,melissaa@elliman.com,(310) 925-9843,CalAtlantic Homes,Miami,FL,3,12,1741197,FL763765,FL,3.9,62,A,realtor_scraper,2026-04-01T06:22:17.654197+00:00
Rebecca Turner,Rebecca,Turner,rebecca.turner@compass.com,(925) 201-9545,Douglas Elliman,Boise,ID,2,9,1181007,ID562304,ID,4.9,70,C,realtor_scraper,2026-04-01T06:22:17.654211+00:00
Elizabeth Thompson,Elizabeth,Thompson,thompson.elizabeth@exprealty.com,(434) 568-4641,Century 21,Houston,TX,1,2,326732,TX856690,TX,4.3,51,A,realtor_scraper,2026-04-01T06:22:17.654226+00:00
Heather Cook,Heather,Cook,heather.cook@weichert.com,(612) 879-2003,Redfin,New York,NY,21,14,13366438,NY391289,NY,4.6,100,A,realtor_scraper,2026-04-01T06:22:17.654240+00:00
Rebecca Cooper,Rebecca,Cooper,rebeccac@redfin.com,(484) 809-8542,Taylor Morrison,Raleigh,NC,24,49,12810459,NC420576,NC,3.9,76,B,realtor_scraper,2026-04-01T06:22:17.654253+00:00
Emma Baker,Emma,Baker,emmab@realtor.com,(607) 332-7482,Ryan Homes,Phoenix,AZ,17,27,14397109,AZ843531,AZ,4.0,100,A,realtor_scraper,2026-04-01T06:22:17.654270+00:00
