id,name,email,phone,company,city,state,zip,years_experience,transactions_last_year,priority,cream_fit_score,source,scraped_at
CREAM-20260703-00001,Jerry Russell,jerryr@aol.com,(929) 390-1139,Keller Williams,Queens,NY,13399,6,25,A,64,Referral Network,2026-07-03T17:01:53Z
CREAM-20260703-00002,Nicholas Martin,nmartin@livsothebys.com,(234) 779-6275,LIV Sotheby's,Aurora,CO,80317,13,49,A,81,LinkedIn,2026-07-03T07:09:08Z
CREAM-20260703-00003,Anthony Harris,anthonyharris@outlook.com,(214) 818-4983,Coldwell Banker,San Jose,CA,95752,16,72,A,73,Cold Outreach,2026-07-03T16:11:45Z
CREAM-20260703-00004,Betty Rogers,betty.rogers@douglaselliman.com,(212) 487-4588,Douglas Elliman,Staten Island,NY,13292,10,47,A,86,NAR Directory,2026-07-03T06:24:02Z
CREAM-20260703-00005,Carol Perry,carol_perry@yahoo.com,(614) 290-8609,Nest Seekers,New York City,NY,13438,14,28,A,94,NAR Directory,2026-07-03T10:08:54Z
CREAM-20260703-00006,Amanda Morales,amorales@briggsfreemansothebys.com,(256) 314-1846,Briggs Freeman Sotheby's,Dallas,TX,77278,15,76,A,62,Facebook,2026-07-03T16:53:54Z
CREAM-20260703-00007,Elizabeth Ward,elizabethward@me.com,(646) 450-8535,HER Realtors,Cincinnati,OH,44646,0,0,A,81,NAR Directory,2026-07-03T03:41:45Z
CREAM-20260703-00008,Benjamin Rogers,benjaminr@coldwellbanker.com,(310) 482-3108,Coldwell Banker,Greensboro,NC,28596,7,20,A,93,Referral Network,2026-07-03T11:27:31Z
CREAM-20260703-00009,Gregory Ortiz,gortiz@yahoo.com,(972) 392-8332,eXp Realty,Fort Worth,TX,78998,3,23,A,81,LinkedIn,2026-07-03T12:30:54Z
CREAM-20260703-00010,George Collins,george_collins@yahoo.com,(415) 617-9197,Berkshire Hathaway,El Paso,TX,76508,16,66,A,69,NAR Directory,2026-07-03T23:25:33Z
CREAM-20260703-00011,Kimberly Ramos,kimberly_ramos@yahoo.com,(980) 325-4090,RE/MAX,Miami,FL,33936,25,61,A,72,Cold Outreach,2026-07-03T20:51:15Z
CREAM-20260703-00012,Samuel Cox,samuelc@aol.com,(614) 482-4450,RE/MAX,Columbus,OH,45718,4,16,A,64,LinkedIn,2026-07-03T13:30:51Z
CREAM-20260703-00013,Rachel Cook,rachelcook@aol.com,(718) 272-1885,Pacific Sotheby's,Los Angeles,CA,91917,4,14,A,91,Website Lead,2026-07-03T14:50:36Z
CREAM-20260703-00014,Patricia Thomas,patriciat@me.com,(212) 861-2655,RE/MAX,San Francisco,CA,92722,3,24,A,79,Cold Outreach,2026-07-03T12:11:31Z
CREAM-20260703-00015,Aaron Lee,aaronl@gmail.com,(929) 257-3982,Keller Williams,Columbus,OH,45492,5,20,A,92,NAR Directory,2026-07-03T08:33:04Z
CREAM-20260703-00016,Susan Turner,susan_turner@gmail.com,(234) 348-5929,RE/MAX,Mesa,AZ,85190,15,26,A,99,Website Lead,2026-07-03T12:53:23Z
CREAM-20260703-00017,Nicole Edwards,nicole.edwards@douglaselliman.com,(704) 277-3458,Douglas Elliman,Staten Island,NY,14719,19,27,A,95,Facebook,2026-07-03T19:42:39Z
CREAM-20260703-00018,Karen Hernandez,karen.hernandez@aol.com,(720) 874-1358,Berkshire Hathaway,Austin,TX,77870,14,62,A,100,Cold Outreach,2026-07-03T12:44:35Z
CREAM-20260703-00019,Amanda Bailey,abailey@hotmail.com,(407) 568-9038,RE/MAX,Phoenix,AZ,85498,1,10,A,71,Realtor.com,2026-07-03T07:28:54Z
CREAM-20260703-00020,Joseph Turner,jturner@compass.com,(469) 736-5609,Compass,Queens,NY,12556,17,72,A,98,NAR Directory,2026-07-03T11:24:02Z
CREAM-20260703-00021,Rebecca Jackson,rebecca.jackson@homesmart.com,(919) 361-7092,HomeSmart,Scottsdale,AZ,85632,21,73,A,66,Referral Network,2026-07-03T03:32:52Z
CREAM-20260703-00022,Rebecca Nguyen,rebecca.nguyen@kellerwilliams.com,(305) 628-6679,Keller Williams,Cincinnati,OH,44111,24,27,A,99,Facebook,2026-07-03T12:06:30Z
CREAM-20260703-00023,Stephanie Ramos,stephanie.ramos@exprealty.com,(310) 913-2745,eXp Realty,Denver,CO,80481,0,2,A,67,Website Lead,2026-07-03T08:33:55Z
CREAM-20260703-00024,Linda Richardson,linda_richardson@gmail.com,(256) 381-3283,Keller Williams,Cincinnati,OH,43769,1,7,A,99,Realtor.com,2026-07-03T04:46:34Z
CREAM-20260703-00025,Jerry Taylor,jtaylor@sothebysinternational.com,(980) 290-8659,Sotheby's International,San Francisco,CA,94189,0,1,A,60,LinkedIn,2026-07-03T00:38:46Z
CREAM-20260703-00026,Gary Morgan,gmorgan@icloud.com,(407) 771-1417,Allie Beth Allman,Dallas,TX,78754,5,19,A,89,Referral Network,2026-07-03T06:08:38Z
CREAM-20260703-00027,Jason Parker,jasonp@yahoo.com,(720) 319-3496,eXp Realty,Denver,CO,80895,11,64,A,88,Facebook,2026-07-03T01:06:32Z
CREAM-20260703-00028,Margaret Miller,margaret_miller@me.com,(614) 346-3881,Compass,St. Petersburg,FL,34846,22,51,A,85,Referral Network,2026-07-03T20:36:10Z
CREAM-20260703-00029,Stephen Gonzalez,stephen.gonzalez@icloud.com,(980) 871-4007,LIV Sotheby's,Denver,CO,80808,15,72,A,89,Cold Outreach,2026-07-03T08:52:07Z
CREAM-20260703-00030,Jack Scott,jacks@corcorangroup.com,(713) 870-8574,Corcoran Group,Staten Island,NY,14236,19,34,A,99,Facebook,2026-07-03T11:13:32Z
CREAM-20260703-00031,Ronald Perry,ronaldp@aol.com,(305) 377-5466,RE/MAX,Cleveland,OH,45590,17,46,A,63,Cold Outreach,2026-07-03T20:32:08Z
CREAM-20260703-00032,Ronald Gutierrez,ronaldg@yahoo.com,(929) 947-5548,Pacific Sotheby's,Long Beach,CA,91234,2,4,A,95,Website Lead,2026-07-03T03:48:33Z
CREAM-20260703-00033,Scott Evans,scott_evans@yahoo.com,(469) 688-3212,RE/MAX,Oakland,CA,96330,1,11,A,78,Referral Network,2026-07-03T04:36:47Z
CREAM-20260703-00034,Frank Roberts,frank.roberts@hotmail.com,(714) 999-8426,Douglas Elliman,Queens,NY,10107,5,14,A,64,MLS Database,2026-07-03T23:31:50Z
CREAM-20260703-00035,Dennis Ramirez,dennis.ramirez@kellerwilliamsrealty.com,(303) 742-7536,Keller Williams Realty,Sacramento,CA,90595,18,79,A,89,LinkedIn,2026-07-03T21:31:14Z
CREAM-20260703-00036,Susan Mitchell,susanmitchell@me.com,(469) 431-7588,Nest Seekers,Queens,NY,13494,16,73,A,99,Cold Outreach,2026-07-03T23:25:21Z
CREAM-20260703-00037,Melissa Nguyen,melissa.nguyen@me.com,(602) 897-5670,Coldwell Banker,Miami,FL,32254,24,31,A,87,Cold Outreach,2026-07-03T04:37:27Z
CREAM-20260703-00038,Jeffrey Morris,jeffrey_morris@me.com,(512) 892-6799,Cutler Real Estate,Cleveland,OH,45364,9,16,A,98,Referral Network,2026-07-03T05:44:48Z
CREAM-20260703-00039,Stephanie Lee,stephaniel@me.com,(720) 710-7448,Keller Williams,Greensboro,NC,27811,3,25,A,85,Brokerage Listings,2026-07-03T02:05:40Z
CREAM-20260703-00040,Robert Hughes,robert.hughes@icloud.com,(919) 474-1929,Compass,Denver,CO,80743,17,42,A,82,Brokerage Listings,2026-07-03T01:39:34Z
CREAM-20260703-00041,Melissa Jimenez,melissaj@herrealtors.com,(415) 332-7896,HER Realtors,Cincinnati,OH,44909,4,14,A,78,Website Lead,2026-07-03T21:09:33Z
CREAM-20260703-00042,Daniel Mendoza,daniel.mendoza@kellerwilliams.com,(404) 421-6396,Keller Williams,Raleigh,NC,27450,5,10,A,88,MLS Database,2026-07-03T08:21:15Z
