id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260825-00001,Lisa Powell,Lisa Powell,Lisa,Powell,lisa_powell@yahoo.com,(602) 695-8006,Berkshire Hathaway,Berkshire Hathaway,Colorado Springs,Colorado Springs,CO,81614,1,9,9,4818003,3.4,A,74,Realtor.com,Enterprise (200+ agents),2026-08-25T02:00:25Z
CREAM-20260825-00002,Patrick Phillips,Patrick Phillips,Patrick,Phillips,patrick.phillips@kellerwilliams.com,(714) 352-6147,Keller Williams,Keller Williams,Mesa,Mesa,AZ,86817,9,32,32,13227445,4.2,A,83,Website Lead,Mid-size (11-50 agents),2026-08-25T01:15:26Z
CREAM-20260825-00003,Rebecca Coleman,Rebecca Coleman,Rebecca,Coleman,rcoleman@sothebysinternational.com,(310) 645-9383,Sotheby's International,Sotheby's International,New York City,New York City,NY,11879,5,11,11,6868923,3.7,A,95,MLS Database,Independent,2026-08-25T19:51:50Z
CREAM-20260825-00004,Paul Long,Paul Long,Paul,Long,paullong@yahoo.com,(407) 964-5730,eXp Realty,eXp Realty,Denver,Denver,CO,81700,3,13,13,6762920,4.2,A,72,Website Lead,Large (51-200 agents),2026-08-25T13:29:56Z
CREAM-20260825-00005,Amy Martin,Amy Martin,Amy,Martin,amartin@coldwellbanker.com,(980) 447-9734,Coldwell Banker,Coldwell Banker,Long Beach,Long Beach,CA,94953,24,33,33,33725737,4.4,A,77,Website Lead,Mid-size (11-50 agents),2026-08-25T04:41:36Z
CREAM-20260825-00006,Margaret Alvarez,Margaret Alvarez,Margaret,Alvarez,margaret.alvarez@aol.com,(980) 708-9455,Nest Seekers,Nest Seekers,Manhattan,Manhattan,NY,10779,10,27,27,21566517,3.9,A,76,Website Lead,Boutique (2-10 agents),2026-08-25T01:50:39Z
CREAM-20260825-00007,Peter Moore,Peter Moore,Peter,Moore,peter_moore@gmail.com,(512) 625-7195,Douglas Elliman,Douglas Elliman,Miami,Miami,FL,34225,5,21,21,8263098,4.9,A,69,Website Lead,Boutique (2-10 agents),2026-08-25T15:19:25Z
CREAM-20260825-00008,Jennifer Morales,Jennifer Morales,Jennifer,Morales,jennifermorales@yahoo.com,(256) 727-5402,HomeSmart,HomeSmart,Mesa,Mesa,AZ,85495,0,4,4,1208655,4.4,A,63,MLS Database,Enterprise (200+ agents),2026-08-25T18:45:16Z
CREAM-20260825-00009,Betty Perez,Betty Perez,Betty,Perez,betty_perez@icloud.com,(704) 998-9330,RE/MAX,RE/MAX,Mesa,Mesa,AZ,85508,3,25,25,9583206,3.9,A,91,LinkedIn,Mid-size (11-50 agents),2026-08-25T01:47:03Z
CREAM-20260825-00010,Keith Harris,Keith Harris,Keith,Harris,keith_harris@yahoo.com,(404) 924-2665,Berkshire Hathaway,Berkshire Hathaway,Columbus,Columbus,OH,45681,2,9,9,2642737,3.6,A,84,LinkedIn,Boutique (2-10 agents),2026-08-25T08:51:27Z
CREAM-20260825-00011,Ruth White,Ruth White,Ruth,White,ruth.white@outlook.com,(407) 290-1126,Berkshire Hathaway HomeServices,Berkshire Hathaway HomeServices,Los Angeles,Los Angeles,CA,94245,5,23,23,22481338,4.4,A,61,Brokerage Listings,Large (51-200 agents),2026-08-25T15:19:25Z
CREAM-20260825-00012,Amber Patel,Amber Patel,Amber,Patel,amber.patel@aol.com,(929) 216-6223,Coldwell Banker,Coldwell Banker,Denver,Denver,CO,80609,5,21,21,9462560,4.9,A,92,Brokerage Listings,Independent,2026-08-25T16:18:21Z
CREAM-20260825-00013,Jeffrey Price,Jeffrey Price,Jeffrey,Price,jeffrey.price@icloud.com,(513) 240-3748,Berkshire Hathaway,Berkshire Hathaway,Phoenix,Phoenix,AZ,86553,4,20,20,6620963,3.9,A,87,Referral Network,Boutique (2-10 agents),2026-08-25T03:57:23Z
CREAM-20260825-00014,Pamela Long,Pamela Long,Pamela,Long,pamelalong@me.com,(234) 265-7314,Briggs Freeman Sotheby's,Briggs Freeman Sotheby's,Houston,Houston,TX,78834,2,11,11,4803361,3.6,A,98,Website Lead,Independent,2026-08-25T18:32:26Z
CREAM-20260825-00015,Roger Cruz,Roger Cruz,Roger,Cruz,rogerc@yahoo.com,(980) 614-4327,Berkshire Hathaway,Berkshire Hathaway,Cleveland,Cleveland,OH,43575,5,20,20,5270943,4.0,A,69,Cold Outreach,Large (51-200 agents),2026-08-25T03:37:45Z
CREAM-20260825-00016,Katherine Ramirez,Katherine Ramirez,Katherine,Ramirez,kramirez@me.com,(980) 631-2081,Compass,Compass,Oakland,Oakland,CA,90924,25,65,65,70051739,4.9,A,87,Facebook,Large (51-200 agents),2026-08-25T06:29:14Z
CREAM-20260825-00017,Aaron Cox,Aaron Cox,Aaron,Cox,aaroncox@hotmail.com,(334) 760-6480,Allie Beth Allman,Allie Beth Allman,Dallas,Dallas,TX,75137,20,77,77,33811496,3.7,A,68,Facebook,Enterprise (200+ agents),2026-08-25T08:02:53Z
CREAM-20260825-00018,Edward Lopez,Edward Lopez,Edward,Lopez,edward_lopez@yahoo.com,(513) 895-8552,Keller Williams,Keller Williams,Colorado Springs,Colorado Springs,CO,80739,1,9,9,3481150,4.3,A,87,Website Lead,Mid-size (11-50 agents),2026-08-25T10:30:18Z
CREAM-20260825-00019,Peter Davis,Peter Davis,Peter,Davis,pdavis@gmail.com,(214) 226-9951,Berkshire Hathaway HomeServices,Berkshire Hathaway HomeServices,Sacramento,Sacramento,CA,91121,4,15,15,15786792,3.6,A,78,Referral Network,Mid-size (11-50 agents),2026-08-25T07:38:39Z
CREAM-20260825-00020,Jason Turner,Jason Turner,Jason,Turner,jasonturner@hotmail.com,(469) 854-5072,Berkshire Hathaway,Berkshire Hathaway,Greensboro,Greensboro,NC,27493,21,40,40,16755820,4.0,A,88,Realtor.com,Boutique (2-10 agents),2026-08-25T00:30:47Z
CREAM-20260825-00021,David Young,David Young,David,Young,david.young@icloud.com,(334) 869-9402,Nest Seekers,Nest Seekers,New York City,New York City,NY,13829,4,13,13,6127185,3.9,A,69,Facebook,Large (51-200 agents),2026-08-25T23:43:52Z
CREAM-20260825-00022,Samantha Watson,Samantha Watson,Samantha,Watson,samanthaw@me.com,(714) 814-3267,Berkshire Hathaway,Berkshire Hathaway,Raleigh,Raleigh,NC,28113,2,10,10,4253192,3.0,A,85,Trade Show,Independent,2026-08-25T08:29:08Z
CREAM-20260825-00023,Richard Lee,Richard Lee,Richard,Lee,richardl@hotmail.com,(512) 810-3758,RE/MAX,RE/MAX,Cincinnati,Cincinnati,OH,44955,4,20,20,5766119,4.4,A,72,Realtor.com,Independent,2026-08-25T02:49:09Z
CREAM-20260825-00024,Susan Roberts,Susan Roberts,Susan,Roberts,sroberts@gmail.com,(212) 905-9830,Russell Lyon Sotheby's,Russell Lyon Sotheby's,Scottsdale,Scottsdale,AZ,85942,1,3,3,1565177,3.6,A,100,Facebook,Large (51-200 agents),2026-08-25T07:27:59Z
CREAM-20260825-00025,Julia Perez,Julia Perez,Julia,Perez,jperez@me.com,(720) 783-3849,Coldwell Banker,Coldwell Banker,Fort Lauderdale,Fort Lauderdale,FL,34470,25,29,29,13065635,4.4,A,62,Brokerage Listings,Large (51-200 agents),2026-08-25T18:33:49Z
CREAM-20260825-00026,Scott Rivera,Scott Rivera,Scott,Rivera,scott_rivera@icloud.com,(713) 677-8547,Nest Seekers,Nest Seekers,New York City,New York City,NY,13260,13,35,35,29248039,4.1,A,81,Realtor.com,Independent,2026-08-25T23:38:58Z
CREAM-20260825-00027,Michael Hall,Michael Hall,Michael,Hall,michaelh@yahoo.com,(303) 498-7215,Berkshire Hathaway,Berkshire Hathaway,El Paso,El Paso,TX,76434,1,4,4,1698830,3.7,A,61,MLS Database,Large (51-200 agents),2026-08-25T14:49:54Z
CREAM-20260825-00028,Emma Green,Emma Green,Emma,Green,emmag@outlook.com,(614) 736-1773,LIV Sotheby's,LIV Sotheby's,Colorado Springs,Colorado Springs,CO,81361,21,61,61,30090080,3.3,A,87,Realtor.com,Large (51-200 agents),2026-08-25T02:59:01Z
CREAM-20260825-00029,Jacob Ramos,Jacob Ramos,Jacob,Ramos,jramos@compass.com,(303) 348-3733,Compass,Compass,Raleigh,Raleigh,NC,27432,2,8,8,1999781,3.8,A,97,Cold Outreach,Mid-size (11-50 agents),2026-08-25T03:33:51Z
CREAM-20260825-00030,Emma Rodriguez,Emma Rodriguez,Emma,Rodriguez,emmarodriguez@gmail.com,(720) 672-5586,Berkshire Hathaway,Berkshire Hathaway,Aurora,Aurora,CO,81677,10,52,52,22768181,3.8,A,81,Facebook,Mid-size (11-50 agents),2026-08-25T19:06:45Z
CREAM-20260825-00031,Pamela Perez,Pamela Perez,Pamela,Perez,pamelaperez@icloud.com,(980) 804-7285,Brown Harris Stevens,Brown Harris Stevens,Queens,Queens,NY,11155,20,73,73,57484177,3.8,A,80,LinkedIn,Mid-size (11-50 agents),2026-08-25T02:14:09Z
