id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260808-00001,Kimberly Flores,Kimberly Flores,Kimberly,Flores,kflores@kellerwilliams.com,(972) 637-9397,Keller Williams,Keller Williams,Cleveland,Cleveland,OH,43689,4,15,15,3846821,4.8,A,87,MLS Database,Boutique (2-10 agents),2026-08-08T10:48:01Z
CREAM-20260808-00002,Emily Morgan,Emily Morgan,Emily,Morgan,emilym@exprealty.com,(980) 374-5302,eXp Realty,eXp Realty,Charlotte,Charlotte,NC,27655,18,59,59,24582144,3.5,A,96,Realtor.com,Large (51-200 agents),2026-08-08T22:49:32Z
CREAM-20260808-00003,Gregory Robinson,Gregory Robinson,Gregory,Robinson,gregoryrobinson@hotmail.com,(786) 791-2038,Berkshire Hathaway,Berkshire Hathaway,Mesa,Mesa,AZ,86160,1,11,11,5777286,4.5,A,85,Cold Outreach,Enterprise (200+ agents),2026-08-08T04:33:38Z
CREAM-20260808-00004,Jennifer Jimenez,Jennifer Jimenez,Jennifer,Jimenez,jennifer_jimenez@aol.com,(929) 629-9964,Berkshire Hathaway,Berkshire Hathaway,Mesa,Mesa,AZ,86196,3,12,12,4806212,3.4,A,100,Website Lead,Enterprise (200+ agents),2026-08-08T05:43:57Z
CREAM-20260808-00005,Peter Miller,Peter Miller,Peter,Miller,peter.miller@hotmail.com,(415) 545-8788,Keller Williams,Keller Williams,Houston,Houston,TX,79319,21,49,49,16002612,4.3,A,99,Trade Show,Independent,2026-08-08T19:58:53Z
CREAM-20260808-00006,Emma Rogers,Emma Rogers,Emma,Rogers,emmar@aol.com,(919) 644-9128,Nest Seekers,Nest Seekers,Manhattan,Manhattan,NY,11186,23,31,31,17617488,4.3,A,66,Trade Show,Boutique (2-10 agents),2026-08-08T16:15:09Z
CREAM-20260808-00007,Alan Hall,Alan Hall,Alan,Hall,alanhall@hotmail.com,(916) 861-9868,Compass,Compass,Raleigh,Raleigh,NC,27697,5,15,15,5334403,3.5,A,88,Realtor.com,Large (51-200 agents),2026-08-08T08:08:34Z
CREAM-20260808-00008,Katherine Diaz,Katherine Diaz,Katherine,Diaz,katherine_diaz@yahoo.com,(404) 300-9399,RE/MAX,RE/MAX,Mesa,Mesa,AZ,86209,6,33,33,13092900,4.9,A,94,LinkedIn,Enterprise (200+ agents),2026-08-08T03:27:06Z
CREAM-20260808-00009,Mark Chavez,Mark Chavez,Mark,Chavez,mark.chavez@hotmail.com,(415) 699-4700,Berkshire Hathaway,Berkshire Hathaway,Raleigh,Raleigh,NC,27534,6,26,26,8369160,3.1,A,95,LinkedIn,Mid-size (11-50 agents),2026-08-08T03:18:43Z
CREAM-20260808-00010,Brenda Walker,Brenda Walker,Brenda,Walker,brenda_walker@me.com,(234) 441-2335,eXp Realty,eXp Realty,Cleveland,Cleveland,OH,43676,0,2,2,447444,3.1,A,73,Realtor.com,Boutique (2-10 agents),2026-08-08T07:38:38Z
