full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Margaret Moore,Margaret,Moore,margaret_moore@exp.com,(303) 475-5613,HomeSmart,Minneapolis,MN,Minneapolis,MN194567,MN,5,30,10500000,88,A,A,4.4,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Melissa Smith,Melissa,Smith,melissa.smith@yahoo.com,(215) 712-3364,Century 21,Miami,FL,Miami,FL885897,FL,6,30,12000000,87,A,A,4.1,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
David Bennett,David,Bennett,davidbennett@century21.com,(502) 721-9902,Redfin,New York,NY,New York,NY451233,NY,10,16,13600000,78,A,A,3.3,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Patrick Lewis,Patrick,Lewis,lewis.p@kw.com,(205) 564-2159,United Real Estate,Lubbock,TX,Lubbock,TX167268,TX,5,10,3500000,61,C,C,3.2,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
George Harris,George,Harris,george.harris@compass.com,(412) 560-4758,Windermere Real Estate,Des Moines,IA,Des Moines,IA127528,IA,8,28,5740000,99,C,C,4.7,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Dennis Walker,Dennis,Walker,denniswalker75@compass.com,(303) 493-9009,Century 21,Tucson,AZ,Tucson,AZ488046,AZ,5,15,6750000,68,B,B,3.3,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Gregory Cruz,Gregory,Cruz,gregorycruz@coldwellbanker.com,(410) 237-5475,Windermere Real Estate,Birmingham,AL,Birmingham,AL271445,AL,5,10,2200000,73,B,B,3.0,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Karen Gray,Karen,Gray,gray.k@century21.com,(813) 318-9778,Windermere Real Estate,Philadelphia,PA,Philadelphia,PA579060,PA,3,25,7250000,94,A,A,3.4,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Betty Adams,Betty,Adams,adams.b@hotmail.com,(205) 965-1234,Zillow Premier Agent,Omaha,NE,Omaha,NE145319,NE,3,4,920000,78,B,B,4.1,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Jeffrey Martin,Jeffrey,Martin,jeffreymartin24@exp.com,(336) 959-5573,Berkshire Hathaway HomeServices,Des Moines,IA,Des Moines,IA596780,IA,3,6,1230000,73,C,C,3.8,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
