full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Samuel Collins,Samuel,Collins,samuelc@hotmail.com,(757) 935-3995,Century Communities,Atlanta,GA,15,45,14645280,GA285961,GA,4.5,96,A,realtor_scraper,2026-04-17T07:03:15.856469+00:00
Jerry Cruz,Jerry,Cruz,jerryc@berkshirehathawayhs.com,(272) 715-7244,Compass,Baton Rouge,LA,16,35,12393496,LA652620,LA,4.6,90,C,realtor_scraper,2026-04-17T07:03:15.856516+00:00
Frank Rodriguez,Frank,Rodriguez,frank65@century21.com,(475) 958-7142,Nest Seekers,Chicago,IL,10,19,2065998,IL169051,IL,4.8,60,A,realtor_scraper,2026-04-17T07:03:15.856532+00:00
Jason Jones,Jason,Jones,jason.jones@gmail.com,(949) 467-6394,Coldwell Banker,San Jose,CA,9,45,9992755,CA240578,CA,4.5,70,B,realtor_scraper,2026-04-17T07:03:15.856551+00:00
Ronald Kim,Ronald,Kim,rkim@exprealty.com,(615) 917-3091,Beazer Homes,Baltimore,MD,1,0,430556,MD748516,MD,0.0,58,B,realtor_scraper,2026-04-17T07:03:15.856563+00:00
Deborah Cook,Deborah,Cook,dcook@redfin.com,(503) 937-4900,Vylla Home,Tampa,FL,11,44,3688147,FL312080,FL,5.0,93,A,realtor_scraper,2026-04-17T07:03:15.856578+00:00
Laura Kelly,Laura,Kelly,kelly.laura@realtor.com,(405) 590-2514,Toll Brothers,Indianapolis,IN,3,12,1549576,IN770856,IN,5.0,60,B,realtor_scraper,2026-04-17T07:03:15.856589+00:00
Frank Richardson,Frank,Richardson,frankr@homesmart.com,(706) 783-3589,The Agency,St. Louis,MO,22,13,7880421,MO406791,MO,4.0,87,B,realtor_scraper,2026-04-17T07:03:15.856598+00:00
Lisa Martin,Lisa,Martin,lisam@berkshirehathawayhs.com,(914) 892-8465,HomeSmart,Phoenix,AZ,13,33,9533459,AZ358783,AZ,4.3,75,A,realtor_scraper,2026-04-17T07:03:15.856608+00:00
Daniel Brown,Daniel,Brown,brown.daniel@coldwellbanker.com,(218) 268-2153,Tri Pointe Homes,Atlanta,GA,7,21,2758339,GA171589,GA,4.5,78,A,realtor_scraper,2026-04-17T07:03:15.856617+00:00
Jessica Lee,Jessica,Lee,jlee@gmail.com,(636) 756-1407,eXp Realty,Houston,TX,13,30,1687823,TX373131,TX,4.8,62,A,realtor_scraper,2026-04-17T07:03:15.856626+00:00
John Ruiz,John,Ruiz,jruiz@coldwellbanker.com,(606) 475-4485,Tri Pointe Homes,Dallas-Fort Worth,TX,25,29,3269982,TX596000,TX,4.4,77,A,realtor_scraper,2026-04-17T07:03:15.856636+00:00
Matthew Davis,Matthew,Davis,matthewd@outlook.com,(612) 772-5483,Sotheby's,St. Louis,MO,17,16,2539935,MO940410,MO,4.6,62,B,realtor_scraper,2026-04-17T07:03:15.856648+00:00
William Hernandez,William,Hernandez,william50@yahoo.com,(409) 712-9182,Vylla Home,New Orleans,LA,0,0,143485,LA984050,LA,0.0,44,C,realtor_scraper,2026-04-17T07:03:15.856661+00:00
Jerry Walker,Jerry,Walker,jerry64@berkshirehathawayhs.com,(804) 734-4912,United Real Estate,Atlanta,GA,2,15,513578,GA490914,GA,4.5,87,A,realtor_scraper,2026-04-17T07:03:15.856670+00:00
Patricia Edwards,Patricia,Edwards,pedwards@yahoo.com,(442) 375-1043,Compass,Baton Rouge,LA,5,43,11019793,LA501698,LA,3.7,88,C,realtor_scraper,2026-04-17T07:03:15.856679+00:00
Carolyn Adams,Carolyn,Adams,carolyn19@hotmail.com,(408) 437-1397,Beazer Homes,Cincinnati,OH,17,35,4672641,OH317108,OH,3.5,81,B,realtor_scraper,2026-04-17T07:03:15.856688+00:00
Raymond Lewis,Raymond,Lewis,raymond.lewis@gmail.com,(808) 838-3250,Pulte Homes,Richmond,VA,7,43,13497347,VA712306,VA,4.4,99,C,realtor_scraper,2026-04-17T07:03:15.856698+00:00
Larry Collins,Larry,Collins,larry3@elliman.com,(650) 375-4082,Douglas Elliman,Miami,FL,7,44,9673685,FL350870,FL,4.9,77,A,realtor_scraper,2026-04-17T07:03:15.856707+00:00
Dorothy Williams,Dorothy,Williams,dorothyw@century21.com,(630) 430-3040,Taylor Morrison,Kansas City,MO,17,24,10643761,MO568148,MO,3.8,73,B,realtor_scraper,2026-04-17T07:03:15.856716+00:00
Barbara Roberts,Barbara,Roberts,barbara45@realtor.com,(804) 650-7663,Coldwell Banker,Denver,CO,23,31,11858326,CO293500,CO,3.7,92,A,realtor_scraper,2026-04-17T07:03:15.856725+00:00
Joshua Lee,Joshua,Lee,joshua53@hotmail.com,(917) 525-3478,Nest Seekers,Atlanta,GA,15,31,1500228,GA210208,GA,4.8,76,A,realtor_scraper,2026-04-17T07:03:15.856735+00:00
Betty White,Betty,White,white.betty@century21.com,(539) 632-2455,Century Communities,Tucson,AZ,22,32,11567822,AZ243508,AZ,4.8,83,C,realtor_scraper,2026-04-17T07:03:15.856744+00:00
James Morgan,James,Morgan,jamesm@yahoo.com,(704) 849-7346,Better Homes & Gardens,Houston,TX,7,32,1807580,TX179330,TX,3.8,76,A,realtor_scraper,2026-04-17T07:03:15.856755+00:00
Nicholas Miller,Nicholas,Miller,nicholasm@hotmail.com,(386) 213-7310,Ryan Homes,Memphis,TN,5,46,5429592,TN196207,TN,3.8,75,C,realtor_scraper,2026-04-17T07:03:15.856765+00:00
Jack Allen,Jack,Allen,jallen@gmail.com,(786) 427-3820,D.R. Horton,San Jose,CA,3,9,1751026,CA463456,CA,4.3,75,B,realtor_scraper,2026-04-17T07:03:15.856777+00:00
Jennifer Lopez,Jennifer,Lopez,jlopez@exprealty.com,(661) 821-1959,eXp Realty,Tampa,FL,2,12,1516425,FL361916,FL,4.4,78,A,realtor_scraper,2026-04-17T07:03:15.856785+00:00
Jessica Turner,Jessica,Turner,jturner@realtor.com,(731) 885-5126,D.R. Horton,San Jose,CA,14,48,3496453,CA157372,CA,4.3,91,B,realtor_scraper,2026-04-17T07:03:15.856807+00:00
Carol Patel,Carol,Patel,patel.carol@gmail.com,(423) 363-1532,Sotheby's,Sacramento,CA,0,5,369395,CA733644,CA,4.2,87,B,realtor_scraper,2026-04-17T07:03:15.856816+00:00
Anthony Rivera,Anthony,Rivera,anthony.rivera@outlook.com,(334) 506-7998,Pulte Homes,Columbus,OH,22,38,6473188,OH462881,OH,4.5,62,B,realtor_scraper,2026-04-17T07:03:15.856824+00:00
Laura Flores,Laura,Flores,laura70@redfin.com,(470) 654-7225,NVR,San Francisco,CA,20,21,1907565,CA507970,CA,3.8,73,A,realtor_scraper,2026-04-17T07:03:15.856833+00:00
Amanda Young,Amanda,Young,amanda.young@century21.com,(240) 527-9980,ERA,San Francisco,CA,19,24,3089928,CA409853,CA,4.5,65,A,realtor_scraper,2026-04-17T07:03:15.856841+00:00
George King,George,King,king.george@remax.net,(657) 291-7297,Beazer Homes,Tucson,AZ,11,17,11256089,AZ461036,AZ,4.4,70,C,realtor_scraper,2026-04-17T07:03:15.856850+00:00
Linda Kim,Linda,Kim,kim.linda@compass.com,(224) 538-5116,HomeSmart,Kansas City,MO,23,12,8428098,MO470117,MO,4.0,60,B,realtor_scraper,2026-04-17T07:03:15.856865+00:00
Emma Robinson,Emma,Robinson,robinson.emma@redfin.com,(321) 355-9881,ERA,Indianapolis,IN,5,16,4555308,IN303709,IN,4.9,61,B,realtor_scraper,2026-04-17T07:03:15.856874+00:00
Dorothy Kelly,Dorothy,Kelly,dkelly@redfin.com,(669) 595-4609,Taylor Morrison,Jacksonville,FL,24,31,4666627,FL766173,FL,3.9,75,B,realtor_scraper,2026-04-17T07:03:15.856883+00:00
Tyler Taylor,Tyler,Taylor,ttaylor@homesmart.com,(206) 834-2809,M/I Homes,Phoenix,AZ,4,5,1445884,AZ820566,AZ,5.0,92,A,realtor_scraper,2026-04-17T07:03:15.856894+00:00
James Davis,James,Davis,jdavis@berkshirehathawayhs.com,(928) 351-9814,Century Communities,Oklahoma City,OK,11,12,1678806,OK181318,OK,4.5,61,C,realtor_scraper,2026-04-17T07:03:15.856903+00:00
Carol Roberts,Carol,Roberts,carolr@exprealty.com,(607) 279-9690,Douglas Elliman,Baltimore,MD,11,11,11596851,MD681129,MD,4.2,98,B,realtor_scraper,2026-04-17T07:03:15.856911+00:00
