full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Diana Reyes,Diana,Reyes,dianareyes@bhhs.com,(775) 969-4138,Exit Realty,Lewisville,TX,0,1,301579,TX270729,TX,3.3,61,C,realtor_scraper,2026-04-23T07:03:16.456529+00:00
Margaret Wells,Margaret,Wells,margaret.wells@icloud.com,(631) 832-4346,John L. Scott Real Estate,Dallas,TX,18,21,7981575,TX667449,TX,3.1,100,A,realtor_scraper,2026-04-23T07:03:16.449328+00:00
Jean Edwards,Jean,Edwards,jedwards@nextdoor.com,(510) 205-3072,Better Homes and Gardens Real Estate,Allen,TX,3,20,8432780,TX259210,TX,4.5,81,C,realtor_scraper,2026-04-23T07:03:16.458110+00:00
Charles Parker,Charles,Parker,parkercharles@century21.com,(770) 485-4786,CBRE,New York,NY,7,13,8463000,NY950480,NY,3.5,92,A,realtor_scraper,2026-04-23T07:03:16.448740+00:00
Eugene Gutierrez,Eugene,Gutierrez,eugeneg@agent.com,(828) 145-4102,Homes.com,Savannah,GA,5,8,3327456,GA945587,GA,4.9,81,B,realtor_scraper,2026-04-23T07:03:16.455817+00:00
Susan Miller,Susan,Miller,susanmiller@compass.com,(518) 356-8934,Help-U-Sell,Lancaster,CA,1,7,2848846,CA570816,CA,3.7,72,B,realtor_scraper,2026-04-23T07:03:16.453234+00:00
Emily Taylor,Emily,Taylor,emily.taylor@realtyonegroup.com,(208) 355-8489,Lyon Real Estate,Denver,CO,9,31,16463604,CO647246,CO,3.2,98,A,realtor_scraper,2026-04-23T07:03:16.446035+00:00
Sharon Salazar,Sharon,Salazar,sharonsalazar@compass.com,(917) 374-6117,ERA Real Estate,Baton Rouge,LA,0,4,1612088,LA800774,LA,4.5,67,B,realtor_scraper,2026-04-23T07:03:16.456091+00:00
Nathan Wood,Nathan,Wood,woodnathan@nextdoor.com,(270) 592-8377,Engel & Volkers,Rochester,NY,0,6,2144220,NY734996,NY,3.9,69,B,realtor_scraper,2026-04-23T07:03:16.456111+00:00
Jean Munoz,Jean,Munoz,munozjean@kw.com,(909) 667-9520,Beazer Homes,League City,TX,3,7,2461060,TX508359,TX,4.6,73,C,realtor_scraper,2026-04-23T07:03:16.460629+00:00
Rose Mendoza,Rose,Mendoza,rosem@trulia.com,(605) 408-4654,Redfin,Portland,OR,6,8,3817488,OR168938,OR,4.6,85,A,realtor_scraper,2026-04-23T07:03:16.447766+00:00
Alice Foster,Alice,Foster,alicef@hotmail.com,(760) 972-7695,John L. Scott Real Estate,Peoria,AZ,5,8,3438416,AZ736514,AZ,4.5,78,C,realtor_scraper,2026-04-23T07:03:16.459714+00:00
Dorothy Perry,Dorothy,Perry,dorothy.perry@coldwellbanker.com,(208) 612-9946,Realty Executives,Allen,TX,3,5,1406620,TX708034,TX,3.8,71,C,realtor_scraper,2026-04-23T07:03:16.457017+00:00
Charles Owens,Charles,Owens,owenscharles@realtor.com,(947) 464-4079,Exit Realty,Rochester,NY,9,32,12078464,NY862323,NY,3.8,96,B,realtor_scraper,2026-04-23T07:03:16.455742+00:00
Michael Tucker,Michael,Tucker,tuckermichael@coldwellbanker.com,(850) 203-8460,United Real Estate,Winston-Salem,NC,1,3,1210566,NC955715,NC,4.5,68,B,realtor_scraper,2026-04-23T07:03:16.454940+00:00
Logan Howard,Logan,Howard,loganh@sothebysrealty.com,(567) 436-9611,Equity Residential,Newark,NJ,14,22,14966732,NJ296487,NJ,3.0,100,A,realtor_scraper,2026-04-23T07:03:16.446909+00:00
Nathan Evans,Nathan,Evans,nathane@icloud.com,(734) 911-7887,Intero Real Estate,Torrance,CA,5,7,2785923,CA471945,CA,3.0,80,B,realtor_scraper,2026-04-23T07:03:16.453309+00:00
Joan Johnson,Joan,Johnson,joan.johnson@kw.com,(385) 692-3936,Sotheby's International Realty,Charleston,SC,5,13,5562635,SC874478,SC,3.2,86,B,realtor_scraper,2026-04-23T07:03:16.452447+00:00
Frances Gonzalez,Frances,Gonzalez,francesg@remax.net,(660) 259-3480,Dickson Realty,Huntsville,AL,6,15,5340960,AL639974,AL,5.0,90,B,realtor_scraper,2026-04-23T07:03:16.451890+00:00
Scott Marshall,Scott,Marshall,smarshall@exp.com,(270) 339-8842,KB Home,Green Bay,WI,4,4,1452332,WI724475,WI,4.1,72,C,realtor_scraper,2026-04-23T07:03:16.457324+00:00
Joshua Barnes,Joshua,Barnes,joshuab@realty.com,(386) 774-9854,Taylor Morrison,Norfolk,VA,11,15,7678560,VA793788,VA,3.5,100,A,realtor_scraper,2026-04-23T07:03:16.448546+00:00
Terry Murphy,Terry,Murphy,murphyterry@gmail.com,(309) 958-3253,Berkshire Hathaway HomeServices,Murfreesboro,TN,8,23,16980992,TN710358,TN,4.3,91,C,realtor_scraper,2026-04-23T07:03:16.461364+00:00
Kayla Shaw,Kayla,Shaw,kshaw@realty.com,(260) 246-9214,Colliers International,Thousand Oaks,CA,1,4,1453540,CA732772,CA,4.0,69,B,realtor_scraper,2026-04-23T07:03:16.456012+00:00
