id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260817-00001,Carol Phillips,Carol Phillips,Carol,Phillips,carol_phillips@hotmail.com,(404) 888-2385,Sotheby's International,Sotheby's International,Queens,Queens,NY,14392,10,35,35,27359300,4.1,A,81,Referral Network,Enterprise (200+ agents),2026-08-17T16:01:49Z
CREAM-20260817-00002,Judith White,Judith White,Judith,White,judith_white@me.com,(720) 935-8546,Berkshire Hathaway,Berkshire Hathaway,Tucson,Tucson,AZ,86789,1,6,6,2454023,3.9,A,63,Website Lead,Mid-size (11-50 agents),2026-08-17T01:20:11Z
CREAM-20260817-00003,Sharon Mendoza,Sharon Mendoza,Sharon,Mendoza,smendoza@exprealty.com,(714) 482-5994,eXp Realty,eXp Realty,Cleveland,Cleveland,OH,45188,15,48,48,14712041,4.8,A,66,LinkedIn,Mid-size (11-50 agents),2026-08-17T04:59:20Z
CREAM-20260817-00004,Bruce Powell,Bruce Powell,Bruce,Powell,brucep@kellerwilliams.com,(718) 606-1989,Keller Williams,Keller Williams,Aurora,Aurora,CO,81584,12,36,36,16645354,4.7,A,67,Brokerage Listings,Independent,2026-08-17T02:24:27Z
CREAM-20260817-00005,Emma Carter,Emma Carter,Emma,Carter,emmac@allentate.com,(256) 523-5537,Allen Tate,Allen Tate,Raleigh,Raleigh,NC,28518,20,34,34,12714108,4.2,A,62,Realtor.com,Independent,2026-08-17T16:14:56Z
CREAM-20260817-00006,Grace Russell,Grace Russell,Grace,Russell,gracerussell@me.com,(980) 333-7244,Coldwell Banker,Coldwell Banker,Greensboro,Greensboro,NC,27102,5,21,21,8299409,3.3,A,61,Facebook,Boutique (2-10 agents),2026-08-17T12:45:58Z
CREAM-20260817-00007,Sharon King,Sharon King,Sharon,King,sking@me.com,(234) 447-1360,HomeSmart,HomeSmart,Mesa,Mesa,AZ,85700,20,55,55,17721147,3.6,A,94,Facebook,Boutique (2-10 agents),2026-08-17T16:12:29Z
CREAM-20260817-00008,Joseph Reyes,Joseph Reyes,Joseph,Reyes,joseph.reyes@me.com,(646) 358-5583,Nest Seekers,Nest Seekers,Bronx,Bronx,NY,13621,3,18,18,10375575,3.9,A,83,Referral Network,Mid-size (11-50 agents),2026-08-17T18:35:35Z
CREAM-20260817-00009,Jack Perez,Jack Perez,Jack,Perez,jack.perez@hotmail.com,(714) 518-5175,RE/MAX,RE/MAX,Houston,Houston,TX,78148,15,42,42,11493830,4.9,A,65,NAR Directory,Large (51-200 agents),2026-08-17T00:47:05Z
CREAM-20260817-00010,Carolyn Wilson,Carolyn Wilson,Carolyn,Wilson,carolynw@berkshirehathaway.com,(646) 429-9098,Berkshire Hathaway,Berkshire Hathaway,El Paso,El Paso,TX,79284,0,3,3,1227306,4.8,A,72,Cold Outreach,Enterprise (200+ agents),2026-08-17T10:09:16Z
CREAM-20260817-00011,Kathleen Williams,Kathleen Williams,Kathleen,Williams,kathleenw@yahoo.com,(602) 648-4526,Berkshire Hathaway,Berkshire Hathaway,Fort Lauderdale,Fort Lauderdale,FL,32292,0,5,5,1654785,4.7,A,86,Website Lead,Enterprise (200+ agents),2026-08-17T11:58:27Z
CREAM-20260817-00012,Ruth Fisher,Ruth Fisher,Ruth,Fisher,ruthf@outlook.com,(614) 891-8238,Douglas Elliman,Douglas Elliman,Queens,Queens,NY,10137,7,27,27,20801571,4.7,A,91,Referral Network,Large (51-200 agents),2026-08-17T19:39:14Z
CREAM-20260817-00013,Gloria Sullivan,Gloria Sullivan,Gloria,Sullivan,gloriasullivan@outlook.com,(805) 564-5292,Keller Williams,Keller Williams,Raleigh,Raleigh,NC,28136,21,27,27,7204027,3.7,A,88,Brokerage Listings,Large (51-200 agents),2026-08-17T19:12:47Z
CREAM-20260817-00014,Brian Mendoza,Brian Mendoza,Brian,Mendoza,brianmendoza@outlook.com,(704) 381-7838,eXp Realty,eXp Realty,Dallas,Dallas,TX,78479,0,0,0,0,4.0,A,89,LinkedIn,Enterprise (200+ agents),2026-08-17T18:07:14Z
CREAM-20260817-00015,Anna Thomas,Anna Thomas,Anna,Thomas,athomas@yahoo.com,(714) 353-2073,Long Realty,Long Realty,Mesa,Mesa,AZ,85962,4,25,25,9604640,4.8,A,81,Brokerage Listings,Enterprise (200+ agents),2026-08-17T18:08:07Z
CREAM-20260817-00016,Sharon Gutierrez,Sharon Gutierrez,Sharon,Gutierrez,sgutierrez@aol.com,(256) 617-1052,RE/MAX,RE/MAX,Scottsdale,Scottsdale,AZ,86474,4,15,15,5217439,3.7,A,80,Realtor.com,Mid-size (11-50 agents),2026-08-17T08:30:20Z
CREAM-20260817-00017,Samantha Cox,Samantha Cox,Samantha,Cox,samantha.cox@outlook.com,(929) 494-3865,Keller Williams,Keller Williams,Greensboro,Greensboro,NC,27610,5,13,13,3558192,4.7,A,68,Cold Outreach,Large (51-200 agents),2026-08-17T00:00:46Z
CREAM-20260817-00018,Jennifer Reed,Jennifer Reed,Jennifer,Reed,jennifer.reed@icloud.com,(720) 701-9678,Berkshire Hathaway,Berkshire Hathaway,Houston,Houston,TX,79627,6,20,20,5803877,4.6,A,70,Referral Network,Large (51-200 agents),2026-08-17T05:48:11Z
CREAM-20260817-00019,Barbara Parker,Barbara Parker,Barbara,Parker,barbaraparker@hotmail.com,(512) 267-7171,Coldwell Banker,Coldwell Banker,Miami,Miami,FL,32460,11,28,28,14069703,4.9,A,84,Referral Network,Boutique (2-10 agents),2026-08-17T00:22:31Z
CREAM-20260817-00020,Susan Bailey,Susan Bailey,Susan,Bailey,susan_bailey@outlook.com,(786) 554-6334,eXp Realty,eXp Realty,San Jose,San Jose,CA,93374,23,27,27,20686623,3.2,A,63,NAR Directory,Mid-size (11-50 agents),2026-08-17T18:49:55Z
CREAM-20260817-00021,Barbara Reyes,Barbara Reyes,Barbara,Reyes,barbara_reyes@outlook.com,(602) 915-2247,Nest Seekers,Nest Seekers,New York City,New York City,NY,11908,3,25,25,19080570,4.6,A,94,LinkedIn,Boutique (2-10 agents),2026-08-17T09:36:03Z
CREAM-20260817-00022,Catherine Phillips,Catherine Phillips,Catherine,Phillips,catherinephillips@gmail.com,(646) 529-3420,8z Real Estate,8z Real Estate,Colorado Springs,Colorado Springs,CO,81735,5,13,13,9084678,4.5,A,81,Referral Network,Mid-size (11-50 agents),2026-08-17T09:58:28Z
CREAM-20260817-00023,Kimberly Evans,Kimberly Evans,Kimberly,Evans,kimberlyevans@aol.com,(929) 344-2363,Berkshire Hathaway,Berkshire Hathaway,Raleigh,Raleigh,NC,27786,4,16,16,4957622,4.1,A,65,Cold Outreach,Independent,2026-08-17T05:08:02Z
CREAM-20260817-00024,Emma Jimenez,Emma Jimenez,Emma,Jimenez,emmajimenez@me.com,(713) 525-3104,Coldwell Banker,Coldwell Banker,Fort Lauderdale,Fort Lauderdale,FL,34588,15,54,54,23325390,4.9,A,78,Facebook,Boutique (2-10 agents),2026-08-17T06:05:16Z
CREAM-20260817-00025,Walter Thompson,Walter Thompson,Walter,Thompson,walter.thompson@aol.com,(310) 536-9436,Allen Tate,Allen Tate,Raleigh,Raleigh,NC,28241,7,39,39,13393086,4.5,A,70,Cold Outreach,Independent,2026-08-17T23:41:08Z
CREAM-20260817-00026,Patricia Rodriguez,Patricia Rodriguez,Patricia,Rodriguez,prodriguez@berkshirehathaway.com,(256) 778-6540,Berkshire Hathaway,Berkshire Hathaway,Phoenix,Phoenix,AZ,85577,8,36,36,12466937,4.6,A,94,Referral Network,Large (51-200 agents),2026-08-17T03:02:30Z
CREAM-20260817-00027,Deborah Edwards,Deborah Edwards,Deborah,Edwards,deborahe@yahoo.com,(407) 545-2557,Pacific Sotheby's,Pacific Sotheby's,Oakland,Oakland,CA,92695,5,15,15,13378677,4.5,A,99,Trade Show,Large (51-200 agents),2026-08-17T06:14:42Z
CREAM-20260817-00028,Sharon Miller,Sharon Miller,Sharon,Miller,sharon_miller@me.com,(602) 889-7444,Berkshire Hathaway,Berkshire Hathaway,Houston,Houston,TX,78931,7,17,17,4217715,4.9,A,94,LinkedIn,Boutique (2-10 agents),2026-08-17T02:24:54Z
CREAM-20260817-00029,Lawrence Anderson,Lawrence Anderson,Lawrence,Anderson,lawrence.anderson@longrealty.com,(704) 863-1942,Long Realty,Long Realty,Mesa,Mesa,AZ,86150,13,57,57,17102417,3.0,A,62,Trade Show,Large (51-200 agents),2026-08-17T17:05:11Z
CREAM-20260817-00030,Danielle Howard,Danielle Howard,Danielle,Howard,daniellehoward@me.com,(919) 656-5279,Berkshire Hathaway,Berkshire Hathaway,Scottsdale,Scottsdale,AZ,85475,23,73,73,38050920,4.3,A,75,Cold Outreach,Mid-size (11-50 agents),2026-08-17T12:51:33Z
CREAM-20260817-00031,Jason Rodriguez,Jason Rodriguez,Jason,Rodriguez,jason.rodriguez@berkshirehathaway.com,(303) 241-1928,Berkshire Hathaway,Berkshire Hathaway,Aurora,Aurora,CO,80710,24,44,44,26079833,4.0,A,85,Cold Outreach,Enterprise (200+ agents),2026-08-17T03:38:08Z
CREAM-20260817-00032,Arthur Sanchez,Arthur Sanchez,Arthur,Sanchez,arthurs@icloud.com,(614) 311-3664,Douglas Elliman,Douglas Elliman,Fort Worth,Fort Worth,TX,77929,18,56,56,19824701,4.2,A,66,NAR Directory,Enterprise (200+ agents),2026-08-17T15:45:00Z
CREAM-20260817-00033,Raymond Jenkins,Raymond Jenkins,Raymond,Jenkins,rjenkins@douglaselliman.com,(720) 929-8164,Douglas Elliman,Douglas Elliman,Fort Worth,Fort Worth,TX,78577,23,66,66,16762934,4.6,A,61,NAR Directory,Large (51-200 agents),2026-08-17T20:19:09Z
CREAM-20260817-00034,Karen Hernandez,Karen Hernandez,Karen,Hernandez,khernandez@yahoo.com,(334) 586-5629,HomeSmart,HomeSmart,Mesa,Mesa,AZ,85137,21,65,65,32837050,4.7,A,87,NAR Directory,Enterprise (200+ agents),2026-08-17T05:19:14Z
CREAM-20260817-00035,Michael Kelly,Michael Kelly,Michael,Kelly,michaelkelly@aol.com,(720) 316-4614,Berkshire Hathaway,Berkshire Hathaway,Orlando,Orlando,FL,33102,3,24,24,9727762,4.8,A,62,Website Lead,Large (51-200 agents),2026-08-17T12:03:58Z
CREAM-20260817-00036,Louis Hill,Louis Hill,Louis,Hill,lhill@gmail.com,(415) 441-8789,Briggs Freeman Sotheby's,Briggs Freeman Sotheby's,Austin,Austin,TX,78394,17,52,52,15409246,4.2,A,69,Trade Show,Boutique (2-10 agents),2026-08-17T10:04:40Z
CREAM-20260817-00037,Pamela Bennett,Pamela Bennett,Pamela,Bennett,pamela_bennett@me.com,(646) 613-8109,Century 21,Century 21,Jacksonville,Jacksonville,FL,34678,1,9,9,2797969,4.9,A,64,MLS Database,Boutique (2-10 agents),2026-08-17T04:57:55Z
CREAM-20260817-00038,Janet Taylor,Janet Taylor,Janet,Taylor,jtaylor@outlook.com,(234) 200-4170,RE/MAX,RE/MAX,Raleigh,Raleigh,NC,27705,23,60,60,26397141,3.8,A,79,LinkedIn,Independent,2026-08-17T12:08:52Z
CREAM-20260817-00039,Angela Ramos,Angela Ramos,Angela,Ramos,aramos@huntingtonrealestate.com,(415) 271-2622,Huntington Real Estate,Huntington Real Estate,Cincinnati,Cincinnati,OH,44412,22,71,71,21854596,3.4,A,83,NAR Directory,Enterprise (200+ agents),2026-08-17T20:32:48Z
CREAM-20260817-00040,Aaron Wilson,Aaron Wilson,Aaron,Wilson,awilson@berkshirehathaway.com,(256) 954-1495,Berkshire Hathaway,Berkshire Hathaway,Colorado Springs,Colorado Springs,CO,80750,17,29,29,14485082,4.8,A,87,Website Lead,Independent,2026-08-17T08:05:52Z
CREAM-20260817-00041,Andrew Mitchell,Andrew Mitchell,Andrew,Mitchell,andrewmitchell@gmail.com,(404) 719-4691,HomeSmart,HomeSmart,Mesa,Mesa,AZ,86883,4,17,17,6836235,3.6,A,84,Cold Outreach,Large (51-200 agents),2026-08-17T19:27:58Z
CREAM-20260817-00042,Linda White,Linda White,Linda,White,lwhite@kellerwilliams.com,(602) 813-1051,Keller Williams,Keller Williams,Greensboro,Greensboro,NC,28710,23,61,61,26414071,4.9,A,100,MLS Database,Large (51-200 agents),2026-08-17T04:25:47Z
CREAM-20260817-00043,Eugene Gomez,Eugene Gomez,Eugene,Gomez,eugeneg@douglaselliman.com,(714) 981-1758,Douglas Elliman,Douglas Elliman,New York City,New York City,NY,11128,2,4,4,3296343,4.9,A,93,NAR Directory,Large (51-200 agents),2026-08-17T00:47:17Z
CREAM-20260817-00044,William Hall,William Hall,William,Hall,williamhall@aol.com,(212) 909-8044,eXp Realty,eXp Realty,Scottsdale,Scottsdale,AZ,86595,4,17,17,7750559,4.6,A,61,MLS Database,Enterprise (200+ agents),2026-08-17T11:24:11Z
CREAM-20260817-00045,Gary Ramirez,Gary Ramirez,Gary,Ramirez,gary.ramirez@exprealty.com,(718) 529-9305,eXp Realty,eXp Realty,Colorado Springs,Colorado Springs,CO,80730,3,21,21,10239027,4.3,A,96,Realtor.com,Enterprise (200+ agents),2026-08-17T06:58:56Z
CREAM-20260817-00046,Tyler Garcia,Tyler Garcia,Tyler,Garcia,tylerg@huntingtonrealestate.com,(713) 507-7044,Huntington Real Estate,Huntington Real Estate,Cleveland,Cleveland,OH,43219,4,25,25,5513796,3.9,A,60,Referral Network,Mid-size (11-50 agents),2026-08-17T07:00:17Z
CREAM-20260817-00047,Christine Smith,Christine Smith,Christine,Smith,christine.smith@re/max.com,(602) 955-7975,RE/MAX,RE/MAX,Dallas,Dallas,TX,75815,22,42,42,15701038,3.4,A,75,MLS Database,Large (51-200 agents),2026-08-17T13:41:17Z
CREAM-20260817-00048,Jerry Brown,Jerry Brown,Jerry,Brown,jerryb@icloud.com,(212) 857-5723,RE/MAX,RE/MAX,Raleigh,Raleigh,NC,28931,14,60,60,24263364,3.5,A,84,Realtor.com,Enterprise (200+ agents),2026-08-17T08:11:33Z
CREAM-20260817-00049,Jacob Chavez,Jacob Chavez,Jacob,Chavez,jacobchavez@me.com,(512) 395-3938,RE/MAX,RE/MAX,Tampa,Tampa,FL,34110,15,58,58,24891416,3.6,A,66,NAR Directory,Enterprise (200+ agents),2026-08-17T19:12:42Z
CREAM-20260817-00050,Eric Hernandez,Eric Hernandez,Eric,Hernandez,erichernandez@aol.com,(512) 443-4168,Briggs Freeman Sotheby's,Briggs Freeman Sotheby's,Austin,Austin,TX,79206,1,3,3,1021513,4.1,A,79,LinkedIn,Independent,2026-08-17T14:38:36Z
CREAM-20260817-00051,Timothy Torres,Timothy Torres,Timothy,Torres,timothy.torres@aol.com,(786) 481-1745,Berkshire Hathaway,Berkshire Hathaway,Aurora,Aurora,CO,81164,17,71,71,50701338,4.4,A,64,MLS Database,Large (51-200 agents),2026-08-17T17:59:23Z
CREAM-20260817-00052,Judith Lewis,Judith Lewis,Judith,Lewis,jlewis@re/max.com,(310) 583-5322,RE/MAX,RE/MAX,Denver,Denver,CO,80421,5,23,23,10188946,3.0,A,79,Cold Outreach,Independent,2026-08-17T21:58:49Z
CREAM-20260817-00053,Laura Clark,Laura Clark,Laura,Clark,lauraclark@me.com,(234) 435-1560,eXp Realty,eXp Realty,Greensboro,Greensboro,NC,27326,19,69,69,25539603,3.2,A,76,Facebook,Enterprise (200+ agents),2026-08-17T13:03:09Z
CREAM-20260817-00054,Keith Turner,Keith Turner,Keith,Turner,keith_turner@yahoo.com,(786) 920-3170,Corcoran Group,Corcoran Group,Manhattan,Manhattan,NY,11360,6,24,24,16562853,3.4,A,92,NAR Directory,Enterprise (200+ agents),2026-08-17T09:47:19Z
CREAM-20260817-00055,Elizabeth Long,Elizabeth Long,Elizabeth,Long,elong@gmail.com,(602) 671-2167,RE/MAX,RE/MAX,Tucson,Tucson,AZ,86115,24,47,47,18280321,3.7,A,66,Trade Show,Enterprise (200+ agents),2026-08-17T09:54:54Z
