id,name,email,phone,company,city,state,zip,years_experience,transactions_last_year,priority,cream_fit_score,source,scraped_at
CREAM-20260711-00001,Benjamin Peterson,benjaminp@outlook.com,(415) 435-9001,Sotheby's International,Long Beach,CA,92231,0,5,A,99,Facebook,2026-07-11T00:39:42Z
CREAM-20260711-00002,George Foster,gfoster@coldwellbanker.com,(334) 573-5190,Coldwell Banker,San Francisco,CA,94326,17,57,A,75,LinkedIn,2026-07-11T04:58:27Z
CREAM-20260711-00003,Joseph Reed,jreed@aol.com,(310) 597-6463,8z Real Estate,Colorado Springs,CO,80984,20,34,A,96,Referral Network,2026-07-11T02:29:55Z
CREAM-20260711-00004,Christine Williams,christinew@icloud.com,(415) 457-6169,Compass,Manhattan,NY,11227,19,64,A,72,Cold Outreach,2026-07-11T05:22:11Z
CREAM-20260711-00005,Paul Hernandez,phernandez@kellerwilliamsrealty.com,(718) 498-8145,Keller Williams Realty,Fort Lauderdale,FL,32442,25,48,A,83,MLS Database,2026-07-11T02:36:13Z
CREAM-20260711-00006,Stephanie Brooks,sbrooks@re/max.com,(512) 958-3381,RE/MAX,Austin,TX,79914,25,34,A,89,Trade Show,2026-07-11T03:28:17Z
CREAM-20260711-00007,Emma Hill,emmahill@me.com,(214) 300-4254,Keller Williams,Phoenix,AZ,86617,15,48,A,85,Brokerage Listings,2026-07-11T21:02:36Z
CREAM-20260711-00008,Linda Nguyen,lindanguyen@gmail.com,(214) 993-1210,Sotheby's International,Staten Island,NY,13959,3,19,A,71,MLS Database,2026-07-11T18:16:52Z
CREAM-20260711-00009,Larry Perry,larryp@icloud.com,(704) 883-4452,HER Realtors,Cincinnati,OH,43472,23,34,A,87,LinkedIn,2026-07-11T18:31:00Z
CREAM-20260711-00010,Aaron Moore,aaron.moore@re/max.com,(929) 568-7908,RE/MAX,Long Beach,CA,96390,5,22,A,96,MLS Database,2026-07-11T00:04:57Z
CREAM-20260711-00011,Nancy Johnson,njohnson@russelllyonsothebys.com,(602) 962-3354,Russell Lyon Sotheby's,Phoenix,AZ,85742,20,60,A,95,Trade Show,2026-07-11T13:09:30Z
CREAM-20260711-00012,Kevin Morales,kevin.morales@longrealty.com,(972) 858-9956,Long Realty,Mesa,AZ,85813,5,25,A,64,Referral Network,2026-07-11T15:05:25Z
CREAM-20260711-00013,Frank Jones,frankjones@yahoo.com,(919) 861-6348,eXp Realty,Denver,CO,80411,5,8,A,83,Brokerage Listings,2026-07-11T02:41:36Z
CREAM-20260711-00014,John Lewis,john.lewis@outlook.com,(234) 896-9294,Keller Williams Realty,Long Beach,CA,95136,8,29,A,90,Trade Show,2026-07-11T09:24:18Z
CREAM-20260711-00015,Shirley Murphy,smurphy@me.com,(512) 514-4052,RE/MAX,Fort Worth,TX,76885,5,16,A,64,Cold Outreach,2026-07-11T09:57:40Z
CREAM-20260711-00016,Robert Ross,robert_ross@aol.com,(303) 531-8730,RE/MAX,San Antonio,TX,76276,4,23,A,65,NAR Directory,2026-07-11T12:29:29Z
CREAM-20260711-00017,Laura Walker,laura.walker@kellerwilliamsrealty.com,(919) 704-5270,Keller Williams Realty,Los Angeles,CA,94908,1,9,A,62,Facebook,2026-07-11T23:19:45Z
