full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Janet Moore,Janet,Moore,janet32@yahoo.com,(262) 855-7338,Meritage Homes,Houston,TX,1,30,4377566,TX375238,TX,5.0,72,A,realtor_scraper,2026-05-22T07:04:49.297271+00:00
Robert Gonzalez,Robert,Gonzalez,robert83@kw.com,(805) 299-9910,Ryan Homes,Atlanta,GA,3,25,2255691,GA331409,GA,3.9,72,A,realtor_scraper,2026-05-22T07:04:49.287901+00:00
John Brooks,John,Brooks,john86@kw.com,(216) 230-2109,Beazer Homes,Memphis,TN,9,40,10984339,TN378670,TN,4.9,100,C,realtor_scraper,2026-05-22T07:04:49.303132+00:00
Andrew Young,Andrew,Young,ayoung@gmail.com,(956) 975-7051,Pulte Homes,San Antonio,TX,0,5,293819,TX447838,TX,4.8,88,B,realtor_scraper,2026-05-22T07:04:49.301805+00:00
Joshua Roberts,Joshua,Roberts,joshua.roberts@homesmart.com,(219) 746-2702,Coldwell Banker,Louisville,KY,1,11,13132806,KY856758,KY,4.6,76,C,realtor_scraper,2026-05-22T07:04:49.305379+00:00
Melissa Roberts,Melissa,Roberts,roberts.melissa@hotmail.com,(256) 671-3404,Tri Pointe Homes,Cincinnati,OH,5,23,10647811,OH783097,OH,4.7,76,B,realtor_scraper,2026-05-22T07:04:49.299966+00:00
Ryan Castillo,Ryan,Castillo,ryan.castillo@outlook.com,(845) 729-3181,Coldwell Banker,Denver,CO,5,13,612243,CO932933,CO,3.9,91,A,realtor_scraper,2026-05-22T07:04:49.294862+00:00
Jason Hall,Jason,Hall,jason6@redfin.com,(202) 244-9477,Ryan Homes,Baltimore,MD,23,41,8728658,MD902119,MD,4.0,64,B,realtor_scraper,2026-05-22T07:04:49.299136+00:00
Rachel Flores,Rachel,Flores,rachelf@exprealty.com,(630) 350-4564,eXp Realty,Denver,CO,6,10,2922625,CO838422,CO,3.7,86,A,realtor_scraper,2026-05-22T07:04:49.286209+00:00
Stephanie Martinez,Stephanie,Martinez,smartinez@elliman.com,(612) 875-1677,Realty One Group,Reno,NV,17,21,5703118,NV988419,NV,4.8,73,C,realtor_scraper,2026-05-22T07:04:49.303239+00:00
