full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Dorothy Martin,Dorothy,Martin,dorothy_martin@exp.com,(850) 210-5359,ERA Real Estate,Sacramento,CA,Sacramento,CA644783,CA,3,8,6000000,78,B,B,4.9,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Katherine Garcia,Katherine,Garcia,garcia.k@hotmail.com,(509) 959-6450,eXp Realty,Asheville,NC,Asheville,NC199311,NC,5,20,6200000,89,C,C,4.5,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Betty Morris,Betty,Morris,bmorris@outlook.com,(479) 524-2809,Windermere Real Estate,Knoxville,TN,Knoxville,TN709272,TN,2,3,960000,62,C,C,3.9,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Susan Reed,Susan,Reed,sreed@coldwellbanker.com,(541) 531-2870,eXp Realty,Denver,CO,Denver,CO272194,CO,4,25,13750000,95,A,A,4.6,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
David Perez,David,Perez,perezdavid@remax.com,(215) 323-1370,HomeSmart,Memphis,TN,Memphis,TN472272,TN,1,10,3200000,62,B,B,3.9,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Michelle Foster,Michelle,Foster,foster.m@coldwellbanker.com,(602) 888-5604,Realty ONE Group,Reno,NV,Reno,NV419063,NV,7,10,4250000,87,C,C,3.1,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Stephen Lewis,Stephen,Lewis,stephen_lewis@outlook.com,(615) 574-5056,Local Brokerage,Cedar Rapids,IA,Cedar Rapids,IA722410,IA,3,8,1640000,62,C,C,4.1,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Jacob Thompson,Jacob,Thompson,jacobthompson@compass.com,(970) 693-5720,HomeSmart,Minneapolis,MN,Minneapolis,MN689908,MN,6,25,8750000,81,A,A,3.0,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Betty Jackson,Betty,Jackson,jacksonbetty@yahoo.com,(615) 583-4849,Realty ONE Group,Minneapolis,MN,Minneapolis,MN746293,MN,7,35,12250000,84,A,A,3.1,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Kevin Anderson,Kevin,Anderson,andersonkevin@century21.com,(901) 676-3191,Realty ONE Group,Philadelphia,PA,Philadelphia,PA423500,PA,15,30,8700000,85,A,A,3.2,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
