id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260912-00001,Diane Rogers,Diane Rogers,Diane,Rogers,diane.rogers@outlook.com,(212) 702-6885,eXp Realty,eXp Realty,Colorado Springs,Colorado Springs,CO,81956,18,30,30,15151788,4.9,A,90,Facebook,Enterprise (200+ agents),2026-09-12T19:58:45Z
CREAM-20260912-00002,Brittany Gutierrez,Brittany Gutierrez,Brittany,Gutierrez,brittanyg@yahoo.com,(212) 978-2985,HER Realtors,HER Realtors,Cleveland,Cleveland,OH,44138,18,54,54,9945792,4.2,A,98,Facebook,Large (51-200 agents),2026-09-12T08:47:44Z
CREAM-20260912-00003,Frank Reed,Frank Reed,Frank,Reed,frank.reed@outlook.com,(305) 725-8625,Coldwell Banker,Coldwell Banker,Colorado Springs,Colorado Springs,CO,81215,3,17,17,11041210,4.3,A,85,Cold Outreach,Large (51-200 agents),2026-09-12T00:36:17Z
CREAM-20260912-00004,Louis Thompson,Louis Thompson,Louis,Thompson,louis.thompson@yahoo.com,(256) 562-7973,Keller Williams,Keller Williams,Colorado Springs,Colorado Springs,CO,80318,5,14,14,6412922,4.6,A,91,Website Lead,Enterprise (200+ agents),2026-09-12T16:45:42Z
CREAM-20260912-00005,Ronald Martin,Ronald Martin,Ronald,Martin,ronald.martin@icloud.com,(256) 798-4425,RE/MAX,RE/MAX,Colorado Springs,Colorado Springs,CO,80795,4,14,14,5729195,4.0,A,90,MLS Database,Large (51-200 agents),2026-09-12T05:08:12Z
CREAM-20260912-00006,Christine Bennett,Christine Bennett,Christine,Bennett,christineb@icloud.com,(720) 738-1593,Compass,Compass,Charlotte,Charlotte,NC,27274,21,28,28,8736147,4.9,A,76,Referral Network,Independent,2026-09-12T03:40:18Z
CREAM-20260912-00007,Amanda Reed,Amanda Reed,Amanda,Reed,amandareed@hotmail.com,(234) 501-3714,Keller Williams,Keller Williams,Brooklyn,Brooklyn,NY,13820,15,45,45,24048963,4.5,A,73,MLS Database,Boutique (2-10 agents),2026-09-12T10:17:33Z
CREAM-20260912-00008,Patrick Rodriguez,Patrick Rodriguez,Patrick,Rodriguez,patrickrodriguez@me.com,(980) 550-7219,Keller Williams,Keller Williams,El Paso,El Paso,TX,76514,15,58,58,15479600,4.7,A,93,Realtor.com,Large (51-200 agents),2026-09-12T18:01:36Z
CREAM-20260912-00009,Matthew Torres,Matthew Torres,Matthew,Torres,matthewt@livsothebys.com,(303) 390-9230,LIV Sotheby's,LIV Sotheby's,Aurora,Aurora,CO,81653,5,25,25,11512802,3.5,A,78,Facebook,Mid-size (11-50 agents),2026-09-12T16:47:27Z
CREAM-20260912-00010,Carl Cruz,Carl Cruz,Carl,Cruz,carlc@outlook.com,(720) 938-4225,LIV Sotheby's,LIV Sotheby's,Colorado Springs,Colorado Springs,CO,80374,3,18,18,9984201,4.1,A,68,Trade Show,Boutique (2-10 agents),2026-09-12T03:24:52Z
