id,name,email,phone,company,city,state,zip,years_experience,transactions_last_year,priority,cream_fit_score,source,scraped_at
CREAM-2026 07 13-00001,Angela Hughes,angelah@kellerwilliams.com,(720) 528-2270,Keller Williams,Greensboro,NC,27349,2,11,A,63,Brokerage Listings,2026-07-13T11:35:46Z
CREAM-2026 07 13-00002,Cynthia Davis,cynthia.davis@me.com,(714) 536-5584,Keller Williams Realty,Los Angeles,CA,93902,4,19,A,70,NAR Directory,2026-07-13T05:56:12Z
CREAM-2026 07 13-00003,Donna Gray,donnag@icloud.com,(919) 753-8665,Century 21,Orlando,FL,33245,13,76,A,61,Website Lead,2026-07-13T09:26:48Z
CREAM-2026 07 13-00004,Gary Green,ggreen@compass.com,(512) 991-9192,Compass,Oakland,CA,95438,1,12,A,75,LinkedIn,2026-07-13T22:06:04Z
CREAM-2026 07 13-00005,Karen Nguyen,karennguyen@gmail.com,(303) 788-2547,RE/MAX,San Jose,CA,93406,5,14,A,70,Referral Network,2026-07-13T02:48:48Z
CREAM-2026 07 13-00006,Carol Carter,carol_carter@icloud.com,(646) 499-3775,RE/MAX,Miami,FL,34173,3,21,A,97,Website Lead,2026-07-13T10:28:37Z
CREAM-2026 07 13-00007,Kenneth Rogers,kenneth_rogers@gmail.com,(469) 597-8975,Keller Williams,Denver,CO,80158,5,21,A,93,Brokerage Listings,2026-07-13T17:20:40Z
CREAM-2026 07 13-00008,Joseph Kim,josephk@icloud.com,(407) 710-7833,Coldwell Banker,San Diego,CA,96685,11,40,A,78,Realtor.com,2026-07-13T02:55:06Z
CREAM-2026 07 13-00009,Kevin Anderson,kanderson@outlook.com,(805) 694-4818,Compass,Charlotte,NC,27279,16,69,A,67,Trade Show,2026-07-13T14:29:46Z
CREAM-2026 07 13-00010,Laura Campbell,lcampbell@exprealty.com,(972) 225-2376,eXp Realty,Long Beach,CA,95579,2,8,A,63,LinkedIn,2026-07-13T10:08:16Z
