id,name,email,phone,brokerage,city,state,zip,years_experience,transaction_volume,cream_fit_score,priority,lead_source,generated_date
CREAM-20260609-0001,Jeffrey Gomez,jeffrey.gomez@email.com,(401)-400-7326,Better Homes & Gardens,Jacksonville,FL,40653,13,1-10,79,A,Daily Scraper,2026-06-09
CREAM-20260609-0002,Carolyn Robinson,carolyn.robinson@email.com,(716)-229-9392,Re/Max,Racine,WI,92589,14,1-10,84,A,Daily Scraper,2026-06-09
CREAM-20260609-0003,Jonathan Cook,jonathan.cook@email.com,(423)-399-4382,The Agency,Bowling Green,KY,97211,24,51-100,100,A,Daily Scraper,2026-06-09
CREAM-20260609-0004,Kathleen Perez,kathleen.perez@email.com,(719)-189-2008,Better Homes & Gardens,Chicago,IL,67461,7,1-10,74,B,Daily Scraper,2026-06-09
CREAM-20260609-0005,Tyler Campbell,tyler.campbell@email.com,(288)-533-6500,Century 21,Duluth,MN,95486,22,1-10,100,A,Daily Scraper,2026-06-09
CREAM-20260609-0006,Donald Gray,donald.gray@email.com,(409)-963-5651,Realty One Group,Irvine,CA,18473,24,26-50,100,A,Daily Scraper,2026-06-09
CREAM-20260609-0007,Sarah Parker,sarah.parker@email.com,(968)-366-7800,Berkshire Hathaway,Stockton,CA,27629,13,51-100,95,A,Daily Scraper,2026-06-09
CREAM-20260609-0008,Thomas Scott,thomas.scott@email.com,(443)-941-1364,United Real Estate,Warren,MI,47416,23,100+,97,A,Daily Scraper,2026-06-09
CREAM-20260609-0009,Andrew Moore,andrew.moore@email.com,(565)-953-3665,United Real Estate,Paterson,NJ,81452,7,11-25,79,B,Daily Scraper,2026-06-09
CREAM-20260609-0010,Emma Taylor,emma.taylor@email.com,(677)-439-9058,Coldwell Banker,Syracuse,NY,27123,19,11-25,96,A,Daily Scraper,2026-06-09
CREAM-20260609-0011,Christopher Chavez,christopher.chavez@email.com,(957)-402-4931,ERA Real Estate,Austin,TX,75382,14,1-10,90,A,Daily Scraper,2026-06-09
CREAM-20260609-0012,Heather Brooks,heather.brooks@email.com,(847)-176-7317,HomeSmart,Jonesboro,AR,70764,9,1-10,78,B,Daily Scraper,2026-06-09
CREAM-20260609-0013,Christopher Martin,christopher.martin@email.com,(271)-573-1868,Redfin,Salt Lake City,UT,98814,20,1-10,95,A,Daily Scraper,2026-06-09
CREAM-20260609-0014,Jerry Smith,jerry.smith@email.com,(221)-165-3355,Re/Max,Topeka,KS,34547,12,51-100,82,A,Daily Scraper,2026-06-09
CREAM-20260609-0015,Paul Murphy,paul.murphy@email.com,(952)-743-8175,Century 21,San Jose,CA,32599,8,11-25,82,A,Daily Scraper,2026-06-09
