full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Benjamin Morales,Benjamin,Morales,benjaminmorales82@compass.com,(312) 989-9804,Zillow Premier Agent,Washington,DC,Washington,DC355841,DC,6,25,17500000,94,A,A,4.2,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Debra Lopez,Debra,Lopez,debra.lopez@exp.com,(585) 961-5800,Better Homes and Gardens Real Estate,Phoenix,AZ,Phoenix,AZ129427,AZ,5,30,13500000,97,A,A,3.3,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Linda Gomez,Linda,Gomez,linda_gomez@aol.com,(212) 242-3789,Better Homes and Gardens Real Estate,New York,NY,New York,NY279062,NY,8,12,10200000,78,A,A,4.6,realtor_scraper,https://www.movoto.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Charles Morales,Charles,Morales,cmorales@kw.com,(813) 735-3564,Berkshire Hathaway HomeServices,New York,NY,New York,NY229980,NY,5,20,17000000,78,A,A,4.9,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Rachel Davis,Rachel,Davis,racheldavis22@century21.com,(608) 566-2981,Century 21,Fort Wayne,IN,Fort Wayne,IN303280,IN,3,12,2880000,73,C,C,4.1,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Ruth Miller,Ruth,Miller,millerruth@weichert.com,(215) 657-9958,JLL,Asheville,NC,Asheville,NC414473,NC,7,10,3100000,79,C,C,4.6,realtor_scraper,https://www.kw.com/agent,2026-04-22T07:00:00.000000+00:00
Samantha Jimenez,Samantha,Jimenez,samantha.jimenez@homesmart.com,(213) 287-7043,JLL,Miami,FL,Miami,FL280618,FL,7,12,4800000,88,A,A,4.8,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Brenda Patel,Brenda,Patel,bpatel@realtor.com,(402) 750-4875,Keller Williams,Chattanooga,TN,Chattanooga,TN831252,TN,3,8,2560000,75,C,C,4.2,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Samantha Peterson,Samantha,Peterson,speterson@yahoo.com,(713) 269-6592,RE/MAX,Tucson,AZ,Tucson,AZ979375,AZ,12,15,6750000,95,B,B,3.3,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Edward James,Edward,James,edwardjames97@century21.com,(612) 834-2625,eXp Realty,Little Rock,AR,Little Rock,AR263254,AR,2,20,3900000,85,C,C,3.8,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
David Nelson,David,Nelson,nelsondavid@remax.com,(407) 229-2018,eXp Realty,Bend,OR,Bend,OR548770,OR,4,3,1500000,79,C,C,4.6,realtor_scraper,https://www.remax.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Sandra Bailey,Sandra,Bailey,sandra.bailey@sothebysrealty.com,(412) 270-7781,Keller Williams,Austin,TX,Austin,TX659519,TX,6,25,8750000,96,A,A,3.3,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Stephanie Sanders,Stephanie,Sanders,sanders.s@yahoo.com,(575) 568-6209,Weichert Realtors,Riverside,CA,Riverside,CA457099,CA,10,45,33750000,76,B,B,4.3,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
