id,name,email,phone,brokerage,state,city,experience_years,transaction_volume_2024,priority_tier,cream_fit_score,lead_date
CREAM_20260605_276412,Mia Thomas,miat@remax.net,303-729-5760,Christies International,TX,Grand Prairie,5,22,B,78,2026-06-05
CREAM_20260605_689020,Mark Moore,mmoore@hotmail.com,212-816-4210,Weichert Realtors,WI,Milwaukee,12,92,A,88,2026-06-05
CREAM_20260605_762620,Mason Johnson,johnson.mason@icloud.com,512-898-8483,Redfin,CA,Santa Clarita,6,129,C,59,2026-06-05
CREAM_20260605_413167,Noah Flores,noah_flores@outlook.com,602-983-6230,Brown Harris Stevens,WA,Spokane,8,81,B,71,2026-06-05
CREAM_20260605_225899,Anthony Nelson,anthonyn@remax.net,305-456-3325,Corcoran,WA,Seattle,2,3,A,86,2026-06-05
CREAM_20260605_732216,Anthony Torres,anthonyt@realtor.net,512-797-3299,Better Homes and Gardens,FL,Tampa,4,36,A,85,2026-06-05
CREAM_20260605_629699,Kimberly Ramirez,kramirez@remax.net,617-887-1721,Weichert Realtors,OH,Akron,8,126,B,85,2026-06-05
CREAM_20260605_854533,Donna Nguyen,donnan@gmail.com,303-722-3028,Engel & Völkers,WA,Seattle,5,22,A,98,2026-06-05
CREAM_20260605_727904,Evelyn Nguyen,enguyen@icloud.com,305-309-9238,Century 21,OR,Portland,9,136,A,86,2026-06-05
CREAM_20260605_718005,Dorothy Roberts,dorothy.roberts@gmail.com,206-272-2569,Realty ONE Group,CA,Moreno Valley,4,23,C,57,2026-06-05
CREAM_20260605_318052,Lisa Nelson,lisa_nelson@yahoo.com,415-954-7873,HomeSmart,OH,Dayton,1,11,C,62,2026-06-05
CREAM_20260605_264224,Steven Green,sgreen@hotmail.com,415-122-6338,Berkshire Hathaway,TX,Irving,7,88,B,64,2026-06-05
CREAM_20260605_232552,Steven Harris,stevenh@outlook.com,404-785-2381,Brown Harris Stevens,FL,Orlando,5,31,A,88,2026-06-05
CREAM_20260605_812163,Alexander Martinez,amartinez@realtor.net,415-346-4077,Keller Williams,TX,Mesquite,8,156,C,55,2026-06-05
CREAM_20260605_801276,Kimberly Martinez,kmartinez@kw.com,303-465-5983,Keller Williams,DC,Washington,4,35,A,96,2026-06-05
CREAM_20260605_470558,Jessica Gonzalez,jessica.gonzalez@kw.com,310-896-5979,RE/MAX,AZ,Mesa,6,111,B,82,2026-06-05
CREAM_20260605_856844,Ashley Scott,ashleys@yahoo.com,407-163-8553,ERA Real Estate,VA,Norfolk,5,17,B,73,2026-06-05
CREAM_20260605_892160,Evelyn Perez,evelyn_perez@outlook.com,212-422-2325,Long & Foster,OH,Akron,8,148,B,75,2026-06-05
