id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260907-00001,Patricia Sullivan,Patricia Sullivan,Patricia,Sullivan,patricias@kellerwilliams.com,(713) 709-4191,Keller Williams,Keller Williams,El Paso,El Paso,TX,75647,5,8,8,2748636,3.5,A,95,Trade Show,Large (51-200 agents),2026-09-07T23:36:52Z
CREAM-20260907-00002,Jessica Williams,Jessica Williams,Jessica,Williams,jessicaw@hotmail.com,(646) 249-6821,Douglas Elliman,Douglas Elliman,St. Petersburg,St. Petersburg,FL,33126,0,2,2,728005,3.9,A,91,Referral Network,Enterprise (200+ agents),2026-09-07T00:08:38Z
CREAM-20260907-00003,Ralph Cox,Ralph Cox,Ralph,Cox,ralphcox@hotmail.com,(614) 390-8894,eXp Realty,eXp Realty,Tucson,Tucson,AZ,85602,4,25,25,8084132,4.3,A,85,LinkedIn,Mid-size (11-50 agents),2026-09-07T08:29:58Z
CREAM-20260907-00004,Alan Morgan,Alan Morgan,Alan,Morgan,alan.morgan@gmail.com,(310) 454-7062,RE/MAX,RE/MAX,Long Beach,Long Beach,CA,90918,2,12,12,11539496,5.0,A,86,Cold Outreach,Boutique (2-10 agents),2026-09-07T07:49:32Z
CREAM-20260907-00005,Catherine Scott,Catherine Scott,Catherine,Scott,catherinescott@outlook.com,(714) 218-5716,Coldwell Banker,Coldwell Banker,Colorado Springs,Colorado Springs,CO,81592,2,10,10,5462087,3.7,A,93,Realtor.com,Large (51-200 agents),2026-09-07T05:10:24Z
CREAM-20260907-00006,Tyler Jimenez,Tyler Jimenez,Tyler,Jimenez,tylerj@century21.com,(512) 257-2545,Century 21,Century 21,Miami,Miami,FL,32956,13,65,65,29496446,4.5,A,89,MLS Database,Boutique (2-10 agents),2026-09-07T00:53:11Z
CREAM-20260907-00007,Nicole Carter,Nicole Carter,Nicole,Carter,ncarter@aol.com,(919) 267-1457,Russell Lyon Sotheby's,Russell Lyon Sotheby's,Tucson,Tucson,AZ,86984,0,3,3,1255776,3.8,A,67,Trade Show,Mid-size (11-50 agents),2026-09-07T04:43:39Z
CREAM-20260907-00008,Stephen Campbell,Stephen Campbell,Stephen,Campbell,stephen_campbell@icloud.com,(310) 739-3399,Berkshire Hathaway,Berkshire Hathaway,Aurora,Aurora,CO,81852,10,72,72,32979042,3.1,A,82,Brokerage Listings,Large (51-200 agents),2026-09-07T21:05:47Z
CREAM-20260907-00009,Judith Wood,Judith Wood,Judith,Wood,judith_wood@hotmail.com,(713) 832-9589,Berkshire Hathaway,Berkshire Hathaway,Cincinnati,Cincinnati,OH,44310,1,10,10,2232362,3.1,A,64,LinkedIn,Mid-size (11-50 agents),2026-09-07T03:34:09Z
CREAM-20260907-00010,Victoria Brown,Victoria Brown,Victoria,Brown,victoria.brown@me.com,(929) 408-5877,Howard Hanna,Howard Hanna,Raleigh,Raleigh,NC,28378,6,39,39,16029347,3.2,A,75,LinkedIn,Enterprise (200+ agents),2026-09-07T18:45:32Z
CREAM-20260907-00011,Keith Wood,Keith Wood,Keith,Wood,kwood@icloud.com,(256) 834-9533,Huntington Real Estate,Huntington Real Estate,Columbus,Columbus,OH,44950,15,65,65,21019327,3.6,A,79,Facebook,Large (51-200 agents),2026-09-07T10:12:12Z
CREAM-20260907-00012,Juan Cruz,Juan Cruz,Juan,Cruz,juanc@icloud.com,(713) 378-2431,Pacific Sotheby's,Pacific Sotheby's,San Jose,San Jose,CA,94219,2,3,3,2677078,4.4,A,95,LinkedIn,Mid-size (11-50 agents),2026-09-07T05:38:00Z
CREAM-20260907-00013,Keith Richardson,Keith Richardson,Keith,Richardson,keith.richardson@hotmail.com,(614) 876-6839,Keller Williams,Keller Williams,Raleigh,Raleigh,NC,27395,8,32,32,9478248,3.2,A,67,Referral Network,Boutique (2-10 agents),2026-09-07T01:05:35Z
CREAM-20260907-00014,Kimberly Brown,Kimberly Brown,Kimberly,Brown,kimberly.brown@exprealty.com,(646) 627-6623,eXp Realty,eXp Realty,Dallas,Dallas,TX,76549,4,22,22,6529146,4.4,A,95,Referral Network,Mid-size (11-50 agents),2026-09-07T14:02:26Z
