full_name,first_name,last_name,email,phone,brokerage,city,state,metro_area,license_number,license_state,years_experience,transactions_12mo,sales_volume,cream_fit_score,priority,priority_tier,rating,source,source_url,scraped_at
Raymond Scott,Raymond,Scott,raymondscott72@century21.com,(515) 837-3261,Redfin,Riverside,CA,Riverside,CA167615,CA,1,10,7500000,77,B,B,3.3,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Rebecca Adams,Rebecca,Adams,rebeccaadams@sothebysrealty.com,(318) 509-2431,Independent Agent,New York,NY,New York,NY989185,NY,15,30,25500000,79,A,A,3.2,realtor_scraper,https://www.coldwellbanker.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Emma Evans,Emma,Evans,emma_evans@realtor.com,(617) 409-9209,CBRE,Phoenix,AZ,Phoenix,AZ132849,AZ,10,16,7200000,96,A,A,4.1,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Barbara Rodriguez,Barbara,Rodriguez,barbararodriguez@hotmail.com,(813) 931-1723,Marcus & Millichap,Boston,MA,Boston,MA108325,MA,8,25,16250000,85,A,A,4.3,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Larry Morgan,Larry,Morgan,morgan.l@remax.com,(214) 794-3755,CBRE,Indianapolis,IN,Indianapolis,IN409261,IN,4,8,1920000,84,B,B,3.4,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Matthew Ramirez,Matthew,Ramirez,matthew_ramirez@century21.com,(901) 240-3609,Redfin,Portland,OR,Portland,OR183035,OR,3,12,6000000,74,A,A,4.8,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Rebecca Scott,Rebecca,Scott,rebecca_scott@exp.com,(719) 601-3890,ERA Real Estate,Washington,DC,Washington,DC851136,DC,4,25,17500000,79,A,A,4.8,realtor_scraper,https://www.bhhs.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
Mary Collins,Mary,Collins,mcollins@weichert.com,(205) 711-7475,Cushman & Wakefield,Denver,CO,Denver,CO100704,CO,7,40,22000000,80,A,A,3.0,realtor_scraper,https://www.zillow.com/professionals/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
George Cruz,George,Cruz,gcruz@coldwellbanker.com,(502) 342-7611,Redfin,Buffalo,NY,Buffalo,NY983462,NY,4,12,10200000,80,B,B,3.6,realtor_scraper,https://www.trulia.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Christopher Martin,Christopher,Martin,christophermartin58@kw.com,(501) 729-6823,Better Homes and Gardens Real Estate,Provo,UT,Provo,UT377411,UT,2,10,5000000,71,C,C,3.0,realtor_scraper,https://www.realtor.com/realestateagents/,2026-04-22T07:00:00.000000+00:00
Jeffrey Jones,Jeffrey,Jones,jeffreyjones@exp.com,(601) 521-3105,United Real Estate,Colorado Springs,CO,Colorado Springs,CO475378,CO,2,3,1650000,75,C,C,3.0,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
Debra White,Debra,White,debrawhite95@yahoo.com,(716) 445-6670,Realty ONE Group,Nashville,TN,Nashville,TN196859,TN,12,30,9600000,89,A,A,3.1,realtor_scraper,https://www.redfin.com/real-estate-agents,2026-04-22T07:00:00.000000+00:00
John Perez,John,Perez,jperez@exp.com,(407) 288-6319,Sotheby's International Realty,Baltimore,MD,Baltimore,MD935726,MD,4,10,4250000,84,B,B,4.6,realtor_scraper,https://www.homes.com/real-estate-agents/,2026-04-22T07:00:00.000000+00:00
