id,first_name,last_name,email,phone,city,state,priority,years_experience,experience_tier,cream_fit_score,estimated_transactions,brokerage,license_number,source,scraped_at
CREAM-20260629-0001,Ryan,Williams,ryan.williams@gmail.com,(477) 795-2348,Washington,DC,A,6,Senior,93,31,eXp Realty,DC958020,CREAM Lead Scraper,2026-06-29T06:20:26.809077
CREAM-20260629-0002,Rachel,Martinez,rachel.martinez@yahoo.com,(490) 793-8003,San Jose,CA,A,21,Senior,89,21,Sotheby's,CA381673,CREAM Lead Scraper,2026-06-29T06:20:26.809110
CREAM-20260629-0003,Melissa,Jones,melissa.jones@realtor.com,(334) 841-1027,Washington,DC,A,11,Senior,94,37,Sotheby's,DC608971,CREAM Lead Scraper,2026-06-29T06:20:26.809124
CREAM-20260629-0004,Ashley,Miller,ashley.miller@realty.com,(261) 722-4652,New York,NY,A,16,Senior,89,34,RE/MAX,NY471915,CREAM Lead Scraper,2026-06-29T06:20:26.809138
CREAM-20260629-0005,Brandon,Thomas,brandon.thomas@sothebysrealty.com,(345) 732-3204,San Diego,CA,A,5,Mid,70,20,Coldwell Banker,CA344993,CREAM Lead Scraper,2026-06-29T06:20:26.809151
CREAM-20260629-0006,Brian,Anderson,brian.anderson@yahoo.com,(595) 613-4697,San Jose,CA,A,5,Mid,61,13,Independent,CA725498,CREAM Lead Scraper,2026-06-29T06:20:26.809164
CREAM-20260629-0007,John,White,john.white@realtor.com,(421) 570-2470,San Jose,CA,A,12,Senior,88,18,RE/MAX,CA739945,CREAM Lead Scraper,2026-06-29T06:20:26.809177
CREAM-20260629-0008,Matthew,Lopez,matthew.lopez@yahoo.com,(867) 880-2672,Denver,CO,A,10,Senior,75,21,Sotheby's,CO536568,CREAM Lead Scraper,2026-06-29T06:20:26.809193
CREAM-20260629-0009,Laura,Perez,laura.perez@sothebysrealty.com,(922) 440-4259,Denver,CO,A,16,Senior,93,41,Berkshire Hathaway,CO139439,CREAM Lead Scraper,2026-06-29T06:20:26.809206
CREAM-20260629-0010,Emily,Anderson,emily.anderson@sothebysrealty.com,(574) 864-5652,Seattle,WA,A,4,Mid,68,6,Keller Williams,WA670929,CREAM Lead Scraper,2026-06-29T06:20:26.809217
CREAM-20260629-0011,Andrew,Anderson,andrew.anderson@yahoo.com,(776) 769-3585,Washington,DC,A,8,Senior,99,26,eXp Realty,DC233297,CREAM Lead Scraper,2026-06-29T06:20:26.809228
CREAM-20260629-0012,Michael,Rodriguez,michael.rodriguez@sothebysrealty.com,(278) 889-5135,San Jose,CA,A,19,Senior,81,12,Compass,CA711651,CREAM Lead Scraper,2026-06-29T06:20:26.809244
CREAM-20260629-0013,Sarah,Wilson,sarah.wilson@yahoo.com,(732) 661-5989,Chicago,IL,A,23,Senior,75,50,Keller Williams,IL138949,CREAM Lead Scraper,2026-06-29T06:20:26.809256
CREAM-20260629-0014,Amanda,Taylor,amanda.taylor@gmail.com,(930) 716-6810,San Jose,CA,A,25,Senior,71,28,RE/MAX,CA712046,CREAM Lead Scraper,2026-06-29T06:20:26.809289
CREAM-20260629-0015,Daniel,Anderson,daniel.anderson@yahoo.com,(468) 742-6088,San Francisco,CA,A,12,Senior,99,35,Sotheby's,CA182780,CREAM Lead Scraper,2026-06-29T06:20:26.809302
CREAM-20260629-0016,Ashley,Jackson,ashley.jackson@yahoo.com,(584) 480-5670,New York,NY,A,12,Senior,95,31,Compass,NY426613,CREAM Lead Scraper,2026-06-29T06:20:26.809313
CREAM-20260629-0017,Rebecca,Ramirez,rebecca.ramirez@sothebysrealty.com,(796) 939-7137,Los Angeles,CA,A,2,New,76,12,Independent,CA179007,CREAM Lead Scraper,2026-06-29T06:20:26.809325
CREAM-20260629-0018,Sarah,Thompson,sarah.thompson@sothebysrealty.com,(730) 290-8382,Seattle,WA,A,18,Senior,91,33,Sotheby's,WA590795,CREAM Lead Scraper,2026-06-29T06:20:26.809338
CREAM-20260629-0019,Rachel,Martin,rachel.martin@yahoo.com,(580) 369-5201,Seattle,WA,A,11,Senior,83,6,Berkshire Hathaway,WA143848,CREAM Lead Scraper,2026-06-29T06:20:26.809355
CREAM-20260629-0020,Kevin,Wilson,kevin.wilson@sothebysrealty.com,(827) 718-4997,Los Angeles,CA,A,23,Senior,86,18,RE/MAX,CA355042,CREAM Lead Scraper,2026-06-29T06:20:26.809367
CREAM-20260629-0021,Justin,Wilson,justin.wilson@realty.com,(798) 754-4691,Washington,DC,A,24,Senior,91,33,Independent,DC509849,CREAM Lead Scraper,2026-06-29T06:20:26.809378
CREAM-20260629-0022,Joshua,Lopez,joshua.lopez@realtor.com,(231) 801-7050,Denver,CO,A,3,Mid,70,6,Keller Williams,CO243860,CREAM Lead Scraper,2026-06-29T06:20:26.809393
CREAM-20260629-0023,Rebecca,Anderson,rebecca.anderson@realtor.com,(607) 655-2552,Houston,TX,A,6,Senior,92,36,Keller Williams,TX458894,CREAM Lead Scraper,2026-06-29T06:20:26.809404
