id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260809-00001,Lawrence Diaz,Lawrence Diaz,Lawrence,Diaz,lawrence.diaz@outlook.com,(704) 905-4759,eXp Realty,eXp Realty,Colorado Springs,Colorado Springs,CO,80669,2,8,8,5664389,4.5,A,85,Cold Outreach,Boutique (2-10 agents),2026-08-09T08:55:26Z
CREAM-20260809-00002,Mary Campbell,Mary Campbell,Mary,Campbell,mary.campbell@me.com,(980) 543-2585,RE/MAX,RE/MAX,Cleveland,Cleveland,OH,43565,1,11,11,2487676,3.1,A,79,LinkedIn,Independent,2026-08-09T21:58:40Z
CREAM-20260809-00003,Amy Collins,Amy Collins,Amy,Collins,acollins@yahoo.com,(919) 890-7796,Coldwell Banker,Coldwell Banker,Tampa,Tampa,FL,33358,3,23,23,9328597,3.7,A,77,NAR Directory,Large (51-200 agents),2026-08-09T18:22:09Z
CREAM-20260809-00004,Brian Garcia,Brian Garcia,Brian,Garcia,brian_garcia@gmail.com,(713) 490-7493,LIV Sotheby's,LIV Sotheby's,Colorado Springs,Colorado Springs,CO,81349,19,58,58,38419556,4.4,A,67,Trade Show,Boutique (2-10 agents),2026-08-09T23:00:38Z
CREAM-20260809-00005,Maria Torres,Maria Torres,Maria,Torres,maria_torres@gmail.com,(513) 564-6561,Coldwell Banker,Coldwell Banker,Charlotte,Charlotte,NC,28832,2,6,6,2051258,3.2,A,82,MLS Database,Boutique (2-10 agents),2026-08-09T18:47:16Z
CREAM-20260809-00006,Amy Alexander,Amy Alexander,Amy,Alexander,amya@compass.com,(704) 493-7023,Compass,Compass,Fort Lauderdale,Fort Lauderdale,FL,34374,14,80,80,25928437,4.5,A,95,Cold Outreach,Mid-size (11-50 agents),2026-08-09T12:24:05Z
CREAM-20260809-00007,Arthur Torres,Arthur Torres,Arthur,Torres,arthurt@hotmail.com,(310) 346-4117,Douglas Elliman,Douglas Elliman,Fort Worth,Fort Worth,TX,78456,0,2,2,829444,4.5,A,99,NAR Directory,Enterprise (200+ agents),2026-08-09T15:15:14Z
CREAM-20260809-00008,David Fisher,David Fisher,David,Fisher,david.fisher@douglaselliman.com,(786) 239-5717,Douglas Elliman,Douglas Elliman,Fort Lauderdale,Fort Lauderdale,FL,33511,10,58,58,29333041,3.4,A,83,Trade Show,Boutique (2-10 agents),2026-08-09T08:18:33Z
CREAM-20260809-00009,Brian Nelson,Brian Nelson,Brian,Nelson,brian.nelson@yahoo.com,(718) 261-5132,eXp Realty,eXp Realty,Los Angeles,Los Angeles,CA,92842,1,5,5,4364423,4.3,A,95,LinkedIn,Large (51-200 agents),2026-08-09T00:40:32Z
CREAM-20260809-00010,Larry Jimenez,Larry Jimenez,Larry,Jimenez,larry.jimenez@berkshirehathaway.com,(334) 818-9951,Berkshire Hathaway,Berkshire Hathaway,El Paso,El Paso,TX,76257,25,57,57,25281581,3.5,A,77,Website Lead,Mid-size (11-50 agents),2026-08-09T03:26:23Z
