id,full_name,name,first_name,last_name,email,phone,brokerage,company,metro_area,city,state,zip,years_experience,transactions_12mo,transactions_last_year,sales_volume,rating,priority,cream_fit_score,source,brokerage_size,scraped_at
CREAM-20260818-00001,Judith Allen,Judith Allen,Judith,Allen,judith_allen@gmail.com,(234) 608-1069,Berkshire Hathaway HomeServices,Berkshire Hathaway HomeServices,San Jose,San Jose,CA,92933,8,15,15,15550633,4.7,A,81,Facebook,Large (51-200 agents),2026-08-18T06:57:42Z
CREAM-20260818-00002,Larry Long,Larry Long,Larry,Long,llong@me.com,(718) 365-5585,Compass,Compass,Manhattan,Manhattan,NY,14547,2,9,9,5219769,3.0,A,100,Realtor.com,Enterprise (200+ agents),2026-08-18T01:02:05Z
CREAM-20260818-00003,Jacob Collins,Jacob Collins,Jacob,Collins,jacob.collins@coldwellbanker.com,(919) 558-9573,Coldwell Banker,Coldwell Banker,Scottsdale,Scottsdale,AZ,86115,10,45,45,21139715,3.4,A,79,Facebook,Large (51-200 agents),2026-08-18T01:03:38Z
CREAM-20260818-00004,Roger Walker,Roger Walker,Roger,Walker,rwalker@century21.com,(512) 207-8990,Century 21,Century 21,St. Petersburg,St. Petersburg,FL,32230,5,13,13,4340532,4.5,A,96,Trade Show,Boutique (2-10 agents),2026-08-18T13:59:22Z
CREAM-20260818-00005,Lawrence Evans,Lawrence Evans,Lawrence,Evans,lawrencee@exprealty.com,(713) 728-8727,eXp Realty,eXp Realty,San Diego,San Diego,CA,95654,7,27,27,26294180,3.7,A,79,MLS Database,Enterprise (200+ agents),2026-08-18T04:38:54Z
CREAM-20260818-00006,Sarah Thompson,Sarah Thompson,Sarah,Thompson,sarah.thompson@icloud.com,(214) 806-4283,Berkshire Hathaway,Berkshire Hathaway,Austin,Austin,TX,79654,8,19,19,8290259,4.0,A,75,LinkedIn,Large (51-200 agents),2026-08-18T15:47:15Z
CREAM-20260818-00007,Angela Ross,Angela Ross,Angela,Ross,angelaross@gmail.com,(714) 287-3815,Berkshire Hathaway,Berkshire Hathaway,Charlotte,Charlotte,NC,28570,10,59,59,25969078,3.0,A,72,Website Lead,Large (51-200 agents),2026-08-18T16:03:29Z
CREAM-20260818-00008,Kevin Gomez,Kevin Gomez,Kevin,Gomez,keving@aol.com,(415) 401-6124,eXp Realty,eXp Realty,Mesa,Mesa,AZ,85496,24,53,53,18738745,4.8,A,61,Trade Show,Boutique (2-10 agents),2026-08-18T06:45:46Z
CREAM-20260818-00009,Katherine Long,Katherine Long,Katherine,Long,klong@icloud.com,(334) 559-3992,Compass,Compass,Los Angeles,Los Angeles,CA,93860,0,1,1,783265,3.7,A,74,MLS Database,Mid-size (11-50 agents),2026-08-18T10:14:10Z
CREAM-20260818-00010,Nicole Jackson,Nicole Jackson,Nicole,Jackson,nicolejackson@yahoo.com,(469) 993-9717,Corcoran Group,Corcoran Group,Brooklyn,Brooklyn,NY,14753,2,9,9,4350098,4.8,A,60,Website Lead,Large (51-200 agents),2026-08-18T08:43:52Z
CREAM-20260818-00011,Laura Bailey,Laura Bailey,Laura,Bailey,lbailey@gmail.com,(212) 805-4342,Keller Williams,Keller Williams,Aurora,Aurora,CO,80296,25,40,40,17685652,3.1,A,95,LinkedIn,Mid-size (11-50 agents),2026-08-18T01:50:49Z
CREAM-20260818-00012,Ashley James,Ashley James,Ashley,James,ajames@hotmail.com,(404) 640-1111,Coldwell Banker,Coldwell Banker,San Jose,San Jose,CA,96256,4,15,15,9132110,3.1,A,85,NAR Directory,Enterprise (200+ agents),2026-08-18T13:48:06Z
