full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Bobby Henderson,Bobby,Henderson,hendersonbobby@exp.com,(937) 970-7020,Colliers International,Cape Coral,FL,4,19,11022033,FL958388,FL,4.4,86,B,realtor_scraper,2026-05-24T07:04:37.200751+00:00
Nathan Bell,Nathan,Bell,nathanbell@hotmail.com,(501) 522-2026,Berkshire Hathaway HomeServices,Lakewood,CO,6,17,8417737,CO735074,CO,3.0,90,B,realtor_scraper,2026-05-24T07:04:37.201038+00:00
Cheryl Reyes,Cheryl,Reyes,cheryl.reyes@bhhs.com,(447) 235-9880,Exit Realty,Des Moines,IA,7,35,14609245,IA994478,IA,4.0,92,B,realtor_scraper,2026-05-24T07:04:37.199391+00:00
Judith Harrison,Judith,Harrison,judithharrison@gmail.com,(920) 363-8827,Intero Real Estate,Livonia,MI,1,7,3476249,MI664066,MI,3.0,69,C,realtor_scraper,2026-05-24T07:04:37.204536+00:00
Jean Kelley,Jean,Kelley,jean.kelley@century21.com,(786) 506-2851,Exit Realty,Reno,NV,7,14,10904936,NV324346,NV,4.9,93,A,realtor_scraper,2026-05-24T07:04:37.193982+00:00
Jeffrey Silva,Jeffrey,Silva,silvajeffrey@agent.com,(339) 696-2292,Redfin Partner,Livonia,MI,0,9,3923811,MI327769,MI,3.0,69,C,realtor_scraper,2026-05-24T07:04:37.203235+00:00
Jason Cook,Jason,Cook,cookjason@realtyonegroup.com,(256) 737-8402,Homes.com,Killeen,TX,4,9,3485709,TX986715,TX,3.6,80,B,realtor_scraper,2026-05-24T07:04:37.198776+00:00
Madison Jimenez,Madison,Jimenez,madisonjimenez@nextdoor.com,(260) 287-8980,Sotheby's International Realty,Westminster,CO,8,14,8112356,CO54351,CO,4.1,90,C,realtor_scraper,2026-05-24T07:04:37.204251+00:00
Douglas Chavez,Douglas,Chavez,chavezdouglas@redfin.com,(330) 559-9266,Lennar,Pacoima,CA,5,11,6518842,CA868991,CA,3.3,81,C,realtor_scraper,2026-05-24T07:04:37.205939+00:00
Timothy Collins,Timothy,Collins,collinstimothy@realty.com,(319) 556-2587,J.P. Morgan Real Estate,Spokane,WA,2,8,1713072,WA989256,WA,3.9,75,B,realtor_scraper,2026-05-24T07:04:37.199527+00:00
Brittany Richardson,Brittany,Richardson,brittanyr@agent.com,(251) 204-2764,ZipRealty,Boston,MA,14,25,19262250,MA15543,MA,4.0,100,A,realtor_scraper,2026-05-24T07:04:37.194276+00:00
James Herrera,James,Herrera,jherrera@exp.com,(440) 608-6840,Zillow Premier Agent,El Paso,TX,1,7,2584785,TX585762,TX,3.4,74,A,realtor_scraper,2026-05-24T07:04:37.196846+00:00
Juan Garcia,Juan,Garcia,juangarcia@realty.com,(651) 970-7237,Purplebricks,Sunnyvale,CA,0,5,1240245,CA396522,CA,4.1,68,B,realtor_scraper,2026-05-24T07:04:37.201821+00:00
Angela Payne,Angela,Payne,angela.payne@outlook.com,(817) 459-1964,Pulte Homes,Phoenix,AZ,7,18,5632308,AZ169639,AZ,3.0,94,A,realtor_scraper,2026-05-24T07:04:37.197350+00:00
Terry Holmes,Terry,Holmes,terryholmes@remax.net,(281) 739-1987,HomeSmart,Lakewood,CO,5,5,2359545,CO798508,CO,3.4,78,B,realtor_scraper,2026-05-24T07:04:37.199601+00:00
Lauren Hunter,Lauren,Hunter,lauren.hunter@outlook.com,(814) 357-5963,Engel & Volkers,Abilene,TX,0,7,3332819,TX755680,TX,3.7,67,C,realtor_scraper,2026-05-24T07:04:37.205101+00:00
Zachary Alexander,Zachary,Alexander,zacharya@century21.com,(408) 496-6167,Lennar,Boulder,CO,7,31,9441360,CO176190,CO,3.7,89,C,realtor_scraper,2026-05-24T07:04:37.203821+00:00
Stephanie Cox,Stephanie,Cox,stephaniec@remax.net,(779) 992-6523,Pulte Homes,Irvine,CA,5,18,6561252,CA484567,CA,4.1,88,B,realtor_scraper,2026-05-24T07:04:37.202116+00:00
Carol Medina,Carol,Medina,carol.medina@century21.com,(478) 283-1313,Intero Real Estate,Savannah,GA,4,15,4254855,GA893725,GA,4.7,86,B,realtor_scraper,2026-05-24T07:04:37.199116+00:00
Sam Ramirez,Sam,Ramirez,ramirezsam@homes.com,(765) 934-6781,ERA Real Estate,Boise,ID,6,18,14286996,ID141523,ID,3.6,90,B,realtor_scraper,2026-05-24T07:04:37.200305+00:00
Sandra Robertson,Sandra,Robertson,robertsonsandra@hotmail.com,(901) 431-6809,ERA Real Estate,Omaha,NE,3,16,6844448,NE872211,NE,4.9,86,A,realtor_scraper,2026-05-24T07:04:37.192257+00:00
Joan Anderson,Joan,Anderson,janderson@zillow.com,(567) 800-2060,Howard Hanna Real Estate,Torrance,CA,9,20,13058300,CA485253,CA,4.3,96,B,realtor_scraper,2026-05-24T07:04:37.198273+00:00
Theresa Stevens,Theresa,Stevens,theresastevens@nextdoor.com,(832) 737-8931,Lennar,Toledo,OH,5,10,4632370,OH770669,OH,3.9,85,A,realtor_scraper,2026-05-24T07:04:37.194421+00:00
Steven King,Steven,King,stevenk@century21.com,(610) 964-8122,CBRE,Baton Rouge,LA,4,9,3176811,LA390763,LA,4.5,80,B,realtor_scraper,2026-05-24T07:04:37.200421+00:00
Amanda Mitchell,Amanda,Mitchell,mitchellamanda@zillow.com,(336) 155-5152,NVR Homes,Detroit,MI,8,30,18147960,MI316586,MI,3.5,96,A,realtor_scraper,2026-05-24T07:04:37.193038+00:00
Bradley Owens,Bradley,Owens,bradleyowens@nextdoor.com,(251) 749-2167,Better Homes and Gardens Real Estate,Raleigh,NC,4,17,7914163,NC450437,NC,3.7,88,A,realtor_scraper,2026-05-24T07:04:37.193177+00:00
Amanda Robertson,Amanda,Robertson,amandarobertson@icloud.com,(443) 893-7988,Beazer Homes,West Covina,CA,2,5,1929250,CA58617,CA,4.0,69,C,realtor_scraper,2026-05-24T07:04:37.205480+00:00
Marilyn Coleman,Marilyn,Coleman,marilyncoleman@gmail.com,(914) 183-8672,Exit Realty,Little Rock,AR,1,6,1316520,AR275340,AR,4.7,71,B,realtor_scraper,2026-05-24T07:04:37.201910+00:00
Andrew Stewart,Andrew,Stewart,andrewstewart@nextdoor.com,(502) 775-2642,Engel & Volkers,Aurora,CO,4,5,2138515,CO43065,CO,4.5,78,A,realtor_scraper,2026-05-24T07:04:37.193851+00:00
James Wallace,James,Wallace,wallacejames@broker.com,(859) 517-2325,Newmark Grubb Knight Frank,Chattanooga,TN,10,10,3725760,TN33848,TN,4.1,93,B,realtor_scraper,2026-05-24T07:04:37.198287+00:00
Dorothy Weaver,Dorothy,Weaver,dorothyweaver@kw.com,(410) 421-7931,ERA Real Estate,Omaha,NE,2,6,2563494,NE459064,NE,3.5,75,A,realtor_scraper,2026-05-24T07:04:37.197288+00:00
Alexander Bennett,Alexander,Bennett,alexanderb@realtyonegroup.com,(469) 187-9341,Movoto,Riverside,CA,12,16,11410912,CA270895,CA,3.7,100,A,realtor_scraper,2026-05-24T07:04:37.196074+00:00
Grace Rodriguez,Grace,Rodriguez,grodriguez@sothebysrealty.com,(224) 234-5375,CBRE,Chicago,IL,10,8,6190560,IL985286,IL,4.0,93,A,realtor_scraper,2026-05-24T07:04:37.197470+00:00
Donna Bennett,Donna,Bennett,dbennett@coldwellbanker.com,(772) 675-6180,Perry Homes,Richmond,VA,2,6,2267922,VA535086,VA,3.1,73,B,realtor_scraper,2026-05-24T07:04:37.200731+00:00
Adam Ford,Adam,Ford,adamf@realtor.com,(501) 480-8874,Compass,San Diego,CA,0,3,766494,CA970329,CA,3.7,68,A,realtor_scraper,2026-05-24T07:04:37.194184+00:00
Michael Reed,Michael,Reed,reedmichael@outlook.com,(657) 803-4252,David Weekley Homes,New York,NY,5,11,3091649,NY740842,NY,4.0,86,A,realtor_scraper,2026-05-24T07:04:37.195489+00:00
Louis Ruiz,Louis,Ruiz,ruizlouis@nextdoor.com,(805) 290-7642,Baird & Warner,Lafayette,LA,5,13,7622914,LA178097,LA,5.0,86,B,realtor_scraper,2026-05-24T07:04:37.198683+00:00
Cole Simpson,Cole,Simpson,coles@trulia.com,(909) 707-8991,Weichert Realtors,Lexington,KY,11,20,11713320,KY730829,KY,3.5,100,A,realtor_scraper,2026-05-24T07:04:37.196352+00:00
Heather Spencer,Heather,Spencer,heatherspencer@exp.com,(520) 247-9143,Movoto,El Paso,TX,5,7,3293010,TX473529,TX,4.3,82,A,realtor_scraper,2026-05-24T07:04:37.194782+00:00
Margaret Alvarez,Margaret,Alvarez,margaretalvarez@gmail.com,(276) 708-5018,Baird & Warner,Tulsa,OK,1,6,2629806,OK201027,OK,4.4,73,A,realtor_scraper,2026-05-24T07:04:37.196663+00:00
Eugene James,Eugene,James,eugene.james@homes.com,(281) 378-6977,Trulia,Chula Vista,CA,7,29,16186176,CA516554,CA,4.6,94,A,realtor_scraper,2026-05-24T07:04:37.194452+00:00
Frank Young,Frank,Young,youngfrank@icloud.com,(607) 862-6136,Movoto,Boston,MA,4,16,4648528,MA972646,MA,4.8,88,A,realtor_scraper,2026-05-24T07:04:37.196823+00:00
Edwin Ramos,Edwin,Ramos,ramosedwin@coldwellbanker.com,(520) 918-2343,Realty World,Fort Wayne,IN,3,15,7370520,IN755286,IN,3.5,86,A,realtor_scraper,2026-05-24T07:04:37.197680+00:00
Susan Stone,Susan,Stone,susans@yahoo.com,(559) 758-2381,Meritage Homes,Norfolk,VA,7,13,8362731,VA353347,VA,3.5,92,A,realtor_scraper,2026-05-24T07:04:37.195442+00:00
Dennis Stephens,Dennis,Stephens,dennisstephens@realtyonegroup.com,(540) 855-1801,NVR Homes,Jersey City,NJ,7,25,8580600,NJ794869,NJ,3.8,94,A,realtor_scraper,2026-05-24T07:04:37.194994+00:00
Hannah Phillips,Hannah,Phillips,hphillips@sothebysrealty.com,(712) 167-1873,Realty Executives,Louisville,KY,10,33,22760529,KY149108,KY,3.5,100,A,realtor_scraper,2026-05-24T07:04:37.196746+00:00
