id,name,email,phone,company,city,state,zip,years_experience,transactions_last_year,priority,cream_fit_score,source,scraped_at
CREAM-20260803-00001,Brandon Rivera,brivera@yahoo.com,(256) 304-8088,eXp Realty,Dallas,TX,78317,17,63,A,84,Brokerage Listings,2026-08-03T09:14:50Z
CREAM-20260803-00002,Elizabeth Wood,elizabeth.wood@compass.com,(303) 604-6597,Compass,Colorado Springs,CO,81942,5,13,A,66,Cold Outreach,2026-08-03T12:54:26Z
CREAM-20260803-00003,George Kim,george.kim@yahoo.com,(415) 780-5321,Keller Williams,Columbus,OH,43232,24,63,A,93,Trade Show,2026-08-03T07:23:58Z
CREAM-20260803-00004,Jason Johnson,jason.johnson@hotmail.com,(469) 316-2115,Coldwell Banker,Cleveland,OH,45496,3,17,A,87,Website Lead,2026-08-03T22:51:59Z
CREAM-20260803-00005,Betty Morgan,bettymorgan@hotmail.com,(234) 929-8853,Sotheby's International,Bronx,NY,12159,22,74,A,66,Website Lead,2026-08-03T02:31:25Z
CREAM-20260803-00006,Brenda Gonzalez,brendagonzalez@icloud.com,(714) 584-1998,eXp Realty,Fort Worth,TX,79446,7,36,A,73,LinkedIn,2026-08-03T14:58:32Z
CREAM-20260803-00007,Brandon Kim,bkim@gmail.com,(714) 349-5893,Keller Williams,Cleveland,OH,45651,0,1,A,96,Cold Outreach,2026-08-03T22:11:32Z
CREAM-20260803-00008,Maria Baker,maria.baker@hotmail.com,(513) 748-7619,Coldwell Banker,Fort Worth,TX,77289,7,40,A,92,Cold Outreach,2026-08-03T15:59:28Z
CREAM-20260803-00009,Daniel Stewart,dstewart@icloud.com,(980) 973-2503,Keller Williams,Fort Worth,TX,75744,19,45,A,79,Website Lead,2026-08-03T21:06:28Z
CREAM-20260803-00010,Mark Carter,markcarter@aol.com,(512) 489-9001,eXp Realty,Houston,TX,76318,7,33,A,69,Trade Show,2026-08-03T18:39:55Z
CREAM-20260803-00011,Helen Reed,hreed@huntingtonrealestate.com,(714) 908-9539,Huntington Real Estate,Cleveland,OH,45788,0,4,A,98,Trade Show,2026-08-03T06:48:40Z
CREAM-20260803-00012,Melissa Davis,melissa_davis@yahoo.com,(404) 259-7966,Keller Williams,Aurora,CO,80867,8,35,A,86,Brokerage Listings,2026-08-03T23:54:35Z
CREAM-20260803-00013,Melissa Chavez,melissa_chavez@hotmail.com,(704) 842-7183,Keller Williams Realty,Oakland,CA,91355,3,15,A,97,LinkedIn,2026-08-03T00:49:08Z
CREAM-20260803-00014,Brandon Ross,brandonross@gmail.com,(646) 473-6528,RE/MAX,Long Beach,CA,96811,5,21,A,91,Brokerage Listings,2026-08-03T19:00:30Z
CREAM-20260803-00015,Jacob Howard,jacob.howard@outlook.com,(334) 251-2168,LIV Sotheby's,Aurora,CO,80471,10,31,A,92,MLS Database,2026-08-03T00:24:44Z
CREAM-20260803-00016,Scott Ramos,scott_ramos@yahoo.com,(916) 202-4176,RE/MAX,Phoenix,AZ,85522,18,34,A,85,Website Lead,2026-08-03T09:23:10Z
