full_name,first_name,last_name,email,phone,brokerage,metro_area,state,years_experience,transactions_12mo,sales_volume,license_number,license_state,rating,cream_fit_score,priority,source,scraped_at
Benjamin Boyd,Benjamin,Boyd,benjaminb@agent.com,(539) 590-3779,United Real Estate,Sugar Land,TX,1,9,4057164,TX385260,TX,3.8,71,C,realtor_scraper,2026-05-03T07:04:04.235712+00:00
Kenneth Gutierrez,Kenneth,Gutierrez,kennethg@nextdoor.com,(985) 608-2586,AvalonBay Communities,Jackson,MS,0,9,2721681,MS65066,MS,3.4,72,B,realtor_scraper,2026-05-03T07:04:04.227232+00:00
Vincent Chavez,Vincent,Chavez,vchavez@realty.com,(347) 737-4515,Coldwell Banker,Green Bay,WI,0,6,2855058,WI203327,WI,3.2,66,C,realtor_scraper,2026-05-03T07:04:04.231214+00:00
Brandon Hunter,Brandon,Hunter,brandonh@nextdoor.com,(747) 924-5722,Lennar,Rochester,NY,8,19,13634780,NY861228,NY,3.6,94,B,realtor_scraper,2026-05-03T07:04:04.230738+00:00
Justin Patterson,Justin,Patterson,justin.patterson@zillow.com,(704) 412-6507,Howard Hanna Real Estate,Las Cruces,NM,9,23,12547788,NM408685,NM,3.3,93,C,realtor_scraper,2026-05-03T07:04:04.236030+00:00
Eric Freeman,Eric,Freeman,efreeman@icloud.com,(248) 284-3768,Better Homes and Gardens Real Estate,Akron,OH,4,11,5118476,OH752579,OH,3.6,82,B,realtor_scraper,2026-05-03T07:04:04.224576+00:00
Sarah Thomas,Sarah,Thomas,thomassarah@realty.com,(369) 329-4090,John L. Scott Real Estate,San Antonio,TX,4,5,2100600,TX251928,TX,4.8,78,A,realtor_scraper,2026-05-03T07:04:04.212226+00:00
Elizabeth Payne,Elizabeth,Payne,elizabethpayne@icloud.com,(912) 150-3017,Perry Homes,Houston,TX,7,24,12229008,TX258747,TX,3.3,94,A,realtor_scraper,2026-05-03T07:04:04.217829+00:00
Billy Grant,Billy,Grant,bgrant@homes.com,(253) 306-3935,Compass,Wichita,KS,11,16,5541984,KS204277,KS,4.5,100,A,realtor_scraper,2026-05-03T07:04:04.218635+00:00
Johnny Morris,Johnny,Morris,johnny.morris@coldwellbanker.com,(305) 968-9061,Realty World,Columbia,SC,9,35,15920310,SC505699,SC,4.7,96,B,realtor_scraper,2026-05-03T07:04:04.224998+00:00
Kenneth Soto,Kenneth,Soto,kenneth.soto@century21.com,(650) 320-3546,KB Home,Dallas,TX,7,26,14460602,TX926368,TX,3.7,94,A,realtor_scraper,2026-05-03T07:04:04.220150+00:00
Sara Howard,Sara,Howard,sarah@gmail.com,(252) 247-1474,Zillow Premier Agent,League City,TX,1,3,1009473,TX446804,TX,3.7,65,C,realtor_scraper,2026-05-03T07:04:04.235305+00:00
Benjamin Anderson,Benjamin,Anderson,benjamin.anderson@redfin.com,(989) 468-7971,Compass,Billings,MT,3,14,7410830,MT638637,MT,4.6,80,C,realtor_scraper,2026-05-03T07:04:04.231625+00:00
Peter Robertson,Peter,Robertson,peterr@nextdoor.com,(405) 746-5859,Baird & Warner,Rochester,NY,2,9,4153428,NY937489,NY,4.8,76,B,realtor_scraper,2026-05-03T07:04:04.230729+00:00
Frances Perez,Frances,Perez,perezfrances@broker.com,(816) 145-7733,Intero Real Estate,Reno,NV,14,21,12195225,NV492684,NV,4.7,100,A,realtor_scraper,2026-05-03T07:04:04.219230+00:00
Kathryn Black,Kathryn,Black,blackkathryn@realty.com,(681) 907-7843,J.P. Morgan Real Estate,Detroit,MI,13,9,6586857,MI149561,MI,3.9,94,A,realtor_scraper,2026-05-03T07:04:04.213707+00:00
Eugene Salazar,Eugene,Salazar,eugene.salazar@sothebysrealty.com,(608) 784-7221,Redfin,Modesto,CA,1,8,1647376,CA641822,CA,4.4,73,B,realtor_scraper,2026-05-03T07:04:04.227301+00:00
Doris Schmidt,Doris,Schmidt,dorisschmidt@outlook.com,(716) 455-9109,NextHome,Fayetteville,NC,6,24,13000680,NC549455,NC,3.7,90,B,realtor_scraper,2026-05-03T07:04:04.226704+00:00
Olivia Diaz,Olivia,Diaz,olivia.diaz@realty.com,(818) 399-8973,NVR Homes,Richardson,TX,9,26,8194290,TX426657,TX,3.2,93,C,realtor_scraper,2026-05-03T07:04:04.235508+00:00
Nicole Brooks,Nicole,Brooks,nicolebrooks@zillow.com,(914) 257-7558,Purplebricks,Lewisville,TX,1,6,1514874,TX64248,TX,4.8,68,C,realtor_scraper,2026-05-03T07:04:04.235265+00:00
Joshua Vargas,Joshua,Vargas,vargasjoshua@bhhs.com,(334) 176-8175,Re/Max,Dayton,OH,0,1,494541,OH638427,OH,3.1,64,B,realtor_scraper,2026-05-03T07:04:04.220892+00:00
Patrick Morales,Patrick,Morales,patrickm@yahoo.com,(234) 360-4524,Exit Realty,Cincinnati,OH,0,7,2454795,OH164491,OH,3.8,72,A,realtor_scraper,2026-05-03T07:04:04.212780+00:00
Nathan Gordon,Nathan,Gordon,nathangordon@century21.com,(603) 852-8275,Keller Williams,Tallahassee,FL,6,31,15265826,FL840602,FL,4.2,90,B,realtor_scraper,2026-05-03T07:04:04.224665+00:00
Julie Ryan,Julie,Ryan,ryanjulie@exp.com,(307) 214-3639,eXp Realty,Charleston,SC,0,9,4054833,SC993769,SC,3.7,72,B,realtor_scraper,2026-05-03T07:04:04.230942+00:00
Jerry Munoz,Jerry,Munoz,jerry.munoz@realtor.com,(860) 110-1392,Purplebricks,Fayetteville,NC,8,30,15158670,NC528146,NC,3.6,94,B,realtor_scraper,2026-05-03T07:04:04.226339+00:00
Daniel Hawkins,Daniel,Hawkins,danielhawkins@zillow.com,(754) 272-5419,Perry Homes,Laredo,TX,12,27,14592096,TX902443,TX,3.7,100,A,realtor_scraper,2026-05-03T07:04:04.218417+00:00
Christine Morgan,Christine,Morgan,christinem@exp.com,(315) 435-4582,Marcus & Millichap,Fairfield,CA,6,11,5788849,CA464732,CA,3.7,83,C,realtor_scraper,2026-05-03T07:04:04.236751+00:00
Alice Kim,Alice,Kim,akim@yahoo.com,(564) 341-4827,Marcus & Millichap,Plano,TX,2,3,1034328,TX447288,TX,3.4,72,A,realtor_scraper,2026-05-03T07:04:04.212630+00:00
Jerry Simmons,Jerry,Simmons,jerrysimmons@nextdoor.com,(307) 677-1077,NextHome,Montgomery,AL,3,19,6646865,AL447175,AL,3.0,84,B,realtor_scraper,2026-05-03T07:04:04.231107+00:00
Jordan Holmes,Jordan,Holmes,holmesjordan@kw.com,(217) 367-6695,Equity Residential,Denton,TX,9,35,12776890,TX68046,TX,3.4,93,C,realtor_scraper,2026-05-03T07:04:04.235172+00:00
Brenda Lewis,Brenda,Lewis,brendalewis@homes.com,(551) 191-3753,Realty World,High Point,NC,7,22,16043962,NC158841,NC,3.0,89,C,realtor_scraper,2026-05-03T07:04:04.232212+00:00
Barbara Clark,Barbara,Clark,bclark@zillow.com,(681) 948-5958,Howard Hanna Real Estate,Hollywood,CA,5,5,2626170,CA735502,CA,3.1,78,B,realtor_scraper,2026-05-03T07:04:04.220512+00:00
Amanda Brooks,Amanda,Brooks,amanda.brooks@icloud.com,(785) 145-9280,Zillow Premier Agent,Omaha,NE,7,25,19192375,NE796817,NE,4.1,94,A,realtor_scraper,2026-05-03T07:04:04.219264+00:00
Jack Morris,Jack,Morris,morrisjack@outlook.com,(605) 345-7909,Century 21,Denton,TX,1,5,1890945,TX422933,TX,4.2,67,C,realtor_scraper,2026-05-03T07:04:04.231865+00:00
Lauren Morris,Lauren,Morris,laurenmorris@sothebysrealty.com,(901) 547-6821,Weichert Realtors,Nashville,TN,17,22,7013138,TN644653,TN,3.3,100,A,realtor_scraper,2026-05-03T07:04:04.219791+00:00
Anthony Kelley,Anthony,Kelley,akelley@gmail.com,(582) 534-4948,Keller Williams,Austin,TX,15,13,8783424,TX518712,TX,4.9,98,A,realtor_scraper,2026-05-03T07:04:04.220253+00:00
Scott Powell,Scott,Powell,scottp@hotmail.com,(312) 276-1934,Homes.com,Santa Maria,CA,2,1,493424,CA512692,CA,4.0,65,C,realtor_scraper,2026-05-03T07:04:04.236273+00:00
Dylan Hill,Dylan,Hill,dylanh@realtor.com,(512) 281-9237,ZipRealty,Milwaukee,WI,8,20,15292080,WI274988,WI,3.9,96,A,realtor_scraper,2026-05-03T07:04:04.212735+00:00
Nancy Weaver,Nancy,Weaver,nweaver@redfin.com,(425) 246-7822,Zillow Premier Agent,Oklahoma City,OK,9,21,16204776,OK278843,OK,3.7,98,A,realtor_scraper,2026-05-03T07:04:04.219713+00:00
Devin Fernandez,Devin,Fernandez,fernandezdevin@zillow.com,(412) 851-6302,ZipRealty,Plano,TX,4,20,10917020,TX697819,TX,4.7,88,A,realtor_scraper,2026-05-03T07:04:04.219597+00:00
Terry Fisher,Terry,Fisher,fisherterry@sothebysrealty.com,(770) 924-6171,Homes.com,Las Cruces,NM,7,35,27449765,NM903934,NM,3.4,89,C,realtor_scraper,2026-05-03T07:04:04.235920+00:00
Carl Salazar,Carl,Salazar,carl.salazar@gmail.com,(843) 407-2566,Century 21,Athens,GA,1,8,2063616,GA628647,GA,3.1,70,C,realtor_scraper,2026-05-03T07:04:04.234982+00:00
Grace Cole,Grace,Cole,gcole@remax.net,(319) 760-8134,AvalonBay Communities,Jacksonville,FL,10,28,9247196,FL938439,FL,3.8,100,A,realtor_scraper,2026-05-03T07:04:04.219918+00:00
Joan Clark,Joan,Clark,joan.clark@nextdoor.com,(267) 489-3328,Colliers International,Fort Collins,CO,3,9,3635883,CO467947,CO,3.1,78,B,realtor_scraper,2026-05-03T07:04:04.225160+00:00
Stephanie Edwards,Stephanie,Edwards,sedwards@hotmail.com,(404) 799-7451,Cushman & Wakefield,Durham,NC,8,12,8529900,NC43104,NC,4.6,93,A,realtor_scraper,2026-05-03T07:04:04.218680+00:00
Jason Rodriguez,Jason,Rodriguez,jasonr@century21.com,(276) 914-2837,Weichert Realtors,League City,TX,10,17,11750230,TX777560,TX,4.3,95,C,realtor_scraper,2026-05-03T07:04:04.235946+00:00
Russell Weaver,Russell,Weaver,weaverrussell@remax.net,(740) 253-6007,Redfin Partner,Oklahoma City,OK,7,31,16602670,OK638602,OK,3.7,94,A,realtor_scraper,2026-05-03T07:04:04.219945+00:00
Eric Adams,Eric,Adams,ericadams@realtyonegroup.com,(445) 356-6956,Realty World,Green Bay,WI,3,14,6155422,WI916320,WI,4.2,80,C,realtor_scraper,2026-05-03T07:04:04.231535+00:00
Christopher Hunter,Christopher,Hunter,chunter@compass.com,(870) 244-9101,John L. Scott Real Estate,Norfolk,VA,2,7,3489059,VA720980,VA,3.9,76,A,realtor_scraper,2026-05-03T07:04:04.213802+00:00
Hannah Tucker,Hannah,Tucker,tuckerhannah@redfin.com,(508) 789-1269,Better Homes and Gardens Real Estate,Savannah,GA,5,19,8680378,GA721797,GA,4.4,88,B,realtor_scraper,2026-05-03T07:04:04.226354+00:00
Margaret Reyes,Margaret,Reyes,reyesmargaret@gmail.com,(208) 868-7381,CBRE,Tulsa,OK,11,29,17837378,OK243902,OK,4.2,100,A,realtor_scraper,2026-05-03T07:04:04.219296+00:00
Deborah Kelley,Deborah,Kelley,deborahkelley@sothebysrealty.com,(478) 595-3606,Marcus & Millichap,San Diego,CA,9,31,11087956,CA436250,CA,3.4,98,A,realtor_scraper,2026-05-03T07:04:04.220030+00:00
Grace Edwards,Grace,Edwards,gedwards@realtor.com,(816) 438-5241,Marcus & Millichap,Fremont,CA,9,35,16619575,CA964729,CA,4.7,98,A,realtor_scraper,2026-05-03T07:04:04.219107+00:00
Ashley Aguilar,Ashley,Aguilar,ashley.aguilar@trulia.com,(417) 287-4099,Better Homes and Gardens Real Estate,Fremont,CA,7,17,11353637,CA193002,CA,3.7,94,A,realtor_scraper,2026-05-03T07:04:04.218652+00:00
Frances Young,Frances,Young,youngfrances@gmail.com,(364) 951-2763,eXp Realty,Sacramento,CA,9,14,6883184,CA562260,CA,4.4,97,A,realtor_scraper,2026-05-03T07:04:04.219360+00:00
Doris Gonzales,Doris,Gonzales,gonzalesdoris@redfin.com,(352) 919-9713,Redfin,Allen,TX,2,3,1323768,TX820816,TX,3.8,67,C,realtor_scraper,2026-05-03T07:04:04.235670+00:00
Gary Webb,Gary,Webb,gwebb@zillow.com,(610) 817-3389,CBRE,Odessa,TX,2,6,2408820,TX359037,TX,4.4,70,C,realtor_scraper,2026-05-03T07:04:04.232297+00:00
Nicole Palmer,Nicole,Palmer,nicole.palmer@remax.net,(832) 957-2293,Lennar,Peoria,AZ,5,7,2310854,AZ45862,AZ,3.4,77,C,realtor_scraper,2026-05-03T07:04:04.235251+00:00
Evelyn Parker,Evelyn,Parker,evelynp@redfin.com,(801) 309-7732,Engel & Volkers,Sunnyvale,CA,10,26,9930882,CA344004,CA,4.3,98,B,realtor_scraper,2026-05-03T07:04:04.225205+00:00
Donald Washington,Donald,Washington,washingtondonald@homes.com,(509) 373-2588,Perry Homes,Athens,GA,5,17,5986618,GA469500,GA,3.2,85,C,realtor_scraper,2026-05-03T07:04:04.236017+00:00
Zachary Clark,Zachary,Clark,zachary.clark@remax.net,(309) 981-7413,Homes.com,Las Cruces,NM,2,4,1572556,NM936611,NM,4.3,68,C,realtor_scraper,2026-05-03T07:04:04.232384+00:00
Joan Freeman,Joan,Freeman,joanf@realty.com,(732) 442-9588,Pulte Homes,Elgin,IL,5,11,4506359,IL403100,IL,4.9,84,B,realtor_scraper,2026-05-03T07:04:04.230425+00:00
Christina Long,Christina,Long,christinalong@realtor.com,(717) 248-7545,ERA Real Estate,Pomona,CA,11,14,10915128,CA467114,CA,4.3,97,B,realtor_scraper,2026-05-03T07:04:04.226861+00:00
Pamela Stewart,Pamela,Stewart,pamela.stewart@icloud.com,(724) 983-2402,Redfin Partner,Clarksville,TN,0,10,2673710,TN735697,TN,3.0,73,B,realtor_scraper,2026-05-03T07:04:04.220584+00:00
Richard Romero,Richard,Romero,richard.romero@gmail.com,(405) 810-3462,Equity Residential,Lafayette,LA,6,15,11254800,LA690276,LA,4.5,90,B,realtor_scraper,2026-05-03T07:04:04.220775+00:00
Megan Robinson,Megan,Robinson,mrobinson@homes.com,(616) 836-6091,Intero Real Estate,Houston,TX,6,30,20082810,TX265354,TX,3.4,92,A,realtor_scraper,2026-05-03T07:04:04.213556+00:00
Gerald Russell,Gerald,Russell,grussell@gmail.com,(602) 238-8054,United Real Estate,Alexandria,VA,8,21,11216982,VA774088,VA,4.4,94,B,realtor_scraper,2026-05-03T07:04:04.225740+00:00
